Name,Manufacturer,Model,Serial_Number,Campus,Building,Room_Number,Cooling_Device,Power_Device,Department,Last_Edit_Date/Time,Original_Purchase_Order,Service_Contract_End_Date,Service_Contract_Number,Service_Contract_Purchase_Order_Number,Service_Contract_Start_Date,Service_Contract_Term
SITESCAN,,,,,,,,,NUIT-CI-SO-ServiceOperations,6/5/13 16:49,,,,,,
E-2020 AC-12,Emerson/Liebert,DS105AUAOE1029A,C08G8E0086,Evanston,2020 RIDGE AV,172,Air Cooled 30-ton CRAC,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 AC-14,Emerson/Liebert,DS070ADA0EI174A,C09M8E0312,Evanston,2020 RIDGE AV,184,Air Cooled 30-ton CRAC,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 AC-15,Emerson/Liebert,DS070ADA0EI174A,C09M8E0294,Evanston,2020 RIDGE AV,184,Air Cooled 30-ton CRAC,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 AC-16,Emerson/Liebert,DS070ADA0EI174A,C09M8E0311,Evanston,2020 RIDGE AV,184,Air Cooled 30-ton CRAC,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 AC-17,Emerson/Liebert,DS070ADA0EI174A,C09M8E0292,Evanston,2020 RIDGE AV,184,Air Cooled 30-ton CRAC,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 AC-18,Emerson/Liebert,DS070ADA0EI174A,C09M8E0293,Evanston,2020 RIDGE AV,184,Air Cooled 30-ton CRAC,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 RTU-11,Emerson/Liebert,DCDL616-A,0832C13997,Evanston,2020 RIDGE AV,Roof,Liebert Condensing Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 RTU-12,Emerson/Liebert,DCDL616-A,0832C13991,Evanston,2020 RIDGE AV,Roof,Liebert Condensing Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 RTU-14,Emerson/Liebert,TCDV415-A,1002C25598,Evanston,2020 RIDGE AV,Roof,Liebert Condensing Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 RTU-15,Emerson/Liebert,TCDV415-A,1002C25605,Evanston,2020 RIDGE AV,Roof,Liebert Condensing Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 RTU-16,Emerson/Liebert,TCDV415-A,1002C25597,Evanston,2020 RIDGE AV,Roof,Liebert Condensing Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 RTU-17,Emerson/Liebert,TCDV415-A,0952C25546,Evanston,2020 RIDGE AV,Roof,Liebert Condensing Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 RTU-18,Emerson/Liebert,TCDV415-A,0952C25545,Evanston,2020 RIDGE AV,Roof,Liebert Condensing Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 DC-1,Emerson/Liebert,DDNT940A,0832C13982,Evanston,2020 RIDGE AV,Roof,Liebert Dry Cooler Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 DC-2,Emerson/Liebert,DDNT940A,0831C13920,Evanston,2020 RIDGE AV,Roof,Liebert Dry Cooler Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 DC-3,Emerson/Liebert,DDNT940A,0832C13980,Evanston,2020 RIDGE AV,Roof,Liebert Dry Cooler Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 DC-4,Emerson/Liebert,DDNT940A,0832C14016,Evanston,2020 RIDGE AV,Roof,Liebert Dry Cooler Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2020 DC-6,Emerson/Liebert,DDNT940A,0831C13913,Evanston,2020 RIDGE AV,Roof,Liebert Dry Cooler Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2001 DC-1,Emerson/Liebert,DDNT466Y,0620C86877,Evanston,Leverone Hall,Roof,Liebert Dry Cooler Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2001 DC-2,Emerson/Liebert,DDNT466Y,0620C86708,Evanston,Leverone Hall,Roof,Liebert Dry Cooler Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
E-2001 DC-3,Emerson/Liebert,DDNT466Y,0620C86866,Evanston,Leverone Hall,Roof,Liebert Dry Cooler Unit,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
LG87 CRAH-1,Emerson/Liebert,MMD8TCDC00H0,082IN167153,Evanston,Technological Institute,LG87,Mini Mate AC,,NUIT-CI-SO,7/16/15 12:09,PUR0576211,3/31/18,PRSCONT2012-022,PUR0765304,4/1/13,5 Year
