Cd 1                  name                 |       manufacturer       |            model             | serial_number  |  campus  |                building                | room_number  |          department          | last_edit_date_time |           device_type            

2 --------------------------------------+--------------------------+------------------------------+----------------+----------+----------------------------------------+--------------+------------------------------+---------------------+----------------------------------

3  CI4CRP4                              | VMWARE                   |                              |                | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO-SERVICEOPERATIONS | 3/17/2014 23:26     | 

4  LOBBYGUARD                           |                          |                              |                |          |                                        |              | NUIT-CI-SO-SOC               | 10/27/2014 11:54    | 

5  SITESCAN                             |                          |                              |                |          |                                        |              | NUIT-CI-SO-SERVICEOPERATIONS | 6/5/2013 16:49      | 

6  CI4CRDB                              | VMWARE                   |                              |                | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO-SERVICEOPERATIONS | 8/18/2014 23:26     | 

7  CI4CRP2                              | VMWARE                   |                              |                | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO-SERVICEOPERATIONS | 3/17/2014 23:26     | 

8  CYBERWEB                             | VMWARE                   |                              |                | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO-SERVICEOPERATIONS | 10/29/2015 23:26    | 

9  CI4CRP3                              | VMWARE                   |                              |                | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO-SERVICEOPERATIONS | 12/4/2013 20:00     | 

10  CI4CRP5                              | VMWARE                   |                              |                | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO-SERVICEOPERATIONS | 12/4/2013 20:00     | 

11  HERTZ                                | DELL                     | POWEREDGE R710               | CSXBBM1        | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO-SERVICEOPERATIONS | 8/18/2017 23:26     | 

12  E-2020 AC-18                         | EMERSON/LIEBERT          | DS070ADA0EI174A              | C09M8E0293     | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 7/16/2015 12:09     | AIR COOLED 30-TON CRAC

13  E-2020 AC-16                         | EMERSON/LIEBERT          | DS070ADA0EI174A              | C09M8E0311     | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 7/16/2015 12:09     | AIR COOLED 30-TON CRAC

14  E-2020 AC-12                         | EMERSON/LIEBERT          | DS105AUAOE1029A              | C08G8E0086     | EVANSTON | 2020 RIDGE AV                          | 172          | NUIT-CI-SO                   | 7/16/2015 12:09     | AIR COOLED 30-TON CRAC

15  E-2020 AC-14                         | EMERSON/LIEBERT          | DS070ADA0EI174A              | C09M8E0312     | EVANSTON | 2020 RIDGE AV                          | 184          | NUIT-CI-SO                   | 7/16/2015 12:09     | AIR COOLED 30-TON CRAC

