name,manufacturer,model,serial_number,campus,building,room_number,department,last_edit_date_time,device_type
SITESCAN,,,,,,,NUIT-CI-SO-SERVICEOPERATIONS,6/5/2013 16:49,
LOBBYGUARD,,,,,,,NUIT-CI-SO-SOC,10/27/2014 11:54,
E-2020 AC-12,EMERSON/LIEBERT,DS105AUAOE1029A,C08G8E0086,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/16/2015 12:09,AIR COOLED 30-TON CRAC
E-2020 AC-14,EMERSON/LIEBERT,DS070ADA0EI174A,C09M8E0312,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,7/16/2015 12:09,AIR COOLED 30-TON CRAC
E-2020 AC-15,EMERSON/LIEBERT,DS070ADA0EI174A,C09M8E0294,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,7/16/2015 12:09,AIR COOLED 30-TON CRAC
E-2020 AC-16,EMERSON/LIEBERT,DS070ADA0EI174A,C09M8E0311,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,7/16/2015 12:09,AIR COOLED 30-TON CRAC
E-2020 AC-17,EMERSON/LIEBERT,DS070ADA0EI174A,C09M8E0292,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,7/16/2015 12:09,AIR COOLED 30-TON CRAC
E-2020 AC-18,EMERSON/LIEBERT,DS070ADA0EI174A,C09M8E0293,EVANSTON,2020 RIDGE AV,184,NUIT-CI-SO,7/16/2015 12:09,AIR COOLED 30-TON CRAC
E-2020 RTU-11,EMERSON/LIEBERT,DCDL616-A,0832C13997,EVANSTON,2020 RIDGE AV,ROOF,NUIT-CI-SO,7/16/2015 12:09,LIEBERT CONDENSING UNIT
E-2020 RTU-12,EMERSON/LIEBERT,DCDL616-A,0832C13991,EVANSTON,2020 RIDGE AV,ROOF,NUIT-CI-SO,7/16/2015 12:09,LIEBERT CONDENSING UNIT
E-2020 RTU-14,EMERSON/LIEBERT,TCDV415-A,1002C25598,EVANSTON,2020 RIDGE AV,ROOF,NUIT-CI-SO,7/16/2015 12:09,LIEBERT CONDENSING UNIT
E-2020 RTU-15,EMERSON/LIEBERT,TCDV415-A,1002C25605,EVANSTON,2020 RIDGE AV,ROOF,NUIT-CI-SO,7/16/2015 12:09,LIEBERT CONDENSING UNIT
E-2020 RTU-16,EMERSON/LIEBERT,TCDV415-A,1002C25597,EVANSTON,2020 RIDGE AV,ROOF,NUIT-CI-SO,7/16/2015 12:09,LIEBERT CONDENSING UNIT
E-2020 RTU-17,EMERSON/LIEBERT,TCDV415-A,0952C25546,EVANSTON,2020 RIDGE AV,ROOF,NUIT-CI-SO,7/16/2015 12:09,LIEBERT CONDENSING UNIT
E-2020 RTU-18,EMERSON/LIEBERT,TCDV415-A,0952C25545,EVANSTON,2020 RIDGE AV,ROOF,NUIT-CI-SO,7/16/2015 12:09,LIEBERT CONDENSING UNIT
E-2020 DC-1,EMERSON/LIEBERT,DDNT940A,0832C13982,EVANSTON,2020 RIDGE AV,ROOF,NUIT-CI-SO,7/16/2015 12:09,LIEBERT DRY COOLER UNIT
E-2020 DC-2,EMERSON/LIEBERT,DDNT940A,0831C13920,EVANSTON,2020 RIDGE AV,ROOF,NUIT-CI-SO,7/16/2015 12:09,LIEBERT DRY COOLER UNIT
E-2020 DC-3,EMERSON/LIEBERT,DDNT940A,0832C13980,EVANSTON,2020 RIDGE AV,ROOF,NUIT-CI-SO,7/16/2015 12:09,LIEBERT DRY COOLER UNIT
E-2020 DC-4,EMERSON/LIEBERT,DDNT940A,0832C14016,EVANSTON,2020 RIDGE AV,ROOF,NUIT-CI-SO,7/16/2015 12:09,LIEBERT DRY COOLER UNIT
E-2020 DC-6,EMERSON/LIEBERT,DDNT940A,0831C13913,EVANSTON,2020 RIDGE AV,ROOF,NUIT-CI-SO,7/16/2015 12:09,LIEBERT DRY COOLER UNIT
E-2001 DC-1,EMERSON/LIEBERT,DDNT466Y,0620C86877,EVANSTON,LEVERONE HALL,ROOF,NUIT-CI-SO,7/16/2015 12:09,LIEBERT DRY COOLER UNIT
E-2001 DC-2,EMERSON/LIEBERT,DDNT466Y,0620C86708,EVANSTON,LEVERONE HALL,ROOF,NUIT-CI-SO,7/16/2015 12:09,LIEBERT DRY COOLER UNIT
E-2001 DC-3,EMERSON/LIEBERT,DDNT466Y,0620C86866,EVANSTON,LEVERONE HALL,ROOF,NUIT-CI-SO,7/16/2015 12:09,LIEBERT DRY COOLER UNIT
LG87 CRAH-1,EMERSON/LIEBERT,MMD8TCDC00H0,082IN167153,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87,NUIT-CI-SO,7/16/2015 12:09,MINI MATE AC
LG87 CRAH-2,EMERSON/LIEBERT,MMD402C2400DA,082IN167135,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87,NUIT-CI-SO,7/16/2015 12:09,MINI MATE AC
E-2020 PUMP-1,EMERSON/LIEBERT,JPM2531J,Z0804140661,EVANSTON,2020 RIDGE AV,ROOF,NUIT-CI-SO,7/16/2015 12:09,PUMP
E-2020 PUMP-2,EMERSON/LIEBERT,JPM2531J,Z0804140646,EVANSTON,2020 RIDGE AV,ROOF,NUIT-CI-SO,7/16/2015 12:09,PUMP
E-2020 PUMP-3,EMERSON/LIEBERT,JPM2531J,Z0804151536,EVANSTON,2020 RIDGE AV,ROOF,NUIT-CI-SO,7/16/2015 12:09,PUMP
E-2001 DUAL PUMP PACKAGE,EMERSON/LIEBERT,D75YNT,,EVANSTON,LEVERONE HALL,ROOF,NUIT-CI-SO,7/17/2015 14:46,PUMP PACKAGE
E-2001 PUMP CONTROLLER,EMERSON/LIEBERT,RP020GY06S0757,,EVANSTON,LEVERONE HALL,ROOF,NUIT-CI-SO,3/22/2017 12:00,PUMP PACKAGE
E-2020 PUMP PACKAGE,EMERSON/LIEBERT,RP030DA06S1270,1068029A,EVANSTON,2020 RIDGE AV,ROOF,NUIT-CI-SO,7/16/2015 12:09,PUMP PACKAGE
LG87 XDH-01,EMERSON/LIEBERT,XDH32DK,0/NO8C6D0063,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87,NUIT-CI-SO,7/16/2015 12:09,XDH/EXTREME DENSITY IN-ROW
LG87 XDH-10,EMERSON/LIEBERT,XDH32DK,0/NO8C6D0062,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87,NUIT-CI-SO,7/16/2015 12:09,XDH/EXTREME DENSITY IN-ROW
LG87 XDH-02,EMERSON/LIEBERT,XDH32DK,0/NO8E6D0077,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87,NUIT-CI-SO,7/16/2015 12:09,XDH/EXTREME DENSITY IN-ROW
LG87 XDH-03,EMERSON/LIEBERT,XDH32DK,0/NO8E6D0047,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87,NUIT-CI-SO,7/16/2015 12:09,XDH/EXTREME DENSITY IN-ROW
LG87 XDH-04,EMERSON/LIEBERT,XDH32DK,0/NO8D6D0500,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87,NUIT-CI-SO,7/16/2015 12:09,XDH/EXTREME DENSITY IN-ROW
LG87 XDH-05,EMERSON/LIEBERT,XDH32DK,0/NO8D6D0436,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87,NUIT-CI-SO,7/16/2015 12:09,XDH/EXTREME DENSITY IN-ROW
LG87 XDH-06,EMERSON/LIEBERT,XDH32DK,0/NO8E6D0106,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87,NUIT-CI-SO,7/16/2015 12:09,XDH/EXTREME DENSITY IN-ROW
LG87 XDH-07,EMERSON/LIEBERT,XDH32DK,0/NO8E6D0136,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87,NUIT-CI-SO,7/16/2015 12:09,XDH/EXTREME DENSITY IN-ROW
LG87 XDH-08,EMERSON/LIEBERT,XDH32DK,0/NO8E6D0076,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87,NUIT-CI-SO,7/16/2015 12:09,XDH/EXTREME DENSITY IN-ROW
LG87 XDH-09,EMERSON/LIEBERT,XDH32DK,0/NO8C6D0061,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87,NUIT-CI-SO,7/16/2015 12:09,XDH/EXTREME DENSITY IN-ROW
C-710 AC-2-4,EMERSON/LIEBERT,CW114DC1A20964S,N11F150022,CHICAGO,ABBOTT HALL,241,NUIT-CI-SO,7/16/2015 12:09,DS 30-TON CW UNIT
C-710 AC-2-5,EMERSON/LIEBERT,CW114DC1A20964S,N11F150023,CHICAGO,ABBOTT HALL,241,NUIT-CI-SO,7/16/2015 12:09,DS 30-TON CW UNIT
E-2020 AC-02,EMERSON/LIEBERT,DS105WUAOE1030A,C08G8G0014,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/16/2015 12:09,DS 30-TON CW UNIT
E-2020 AC-03,EMERSON/LIEBERT,DS105WUAOE1030A,C08G8G0011,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/16/2015 12:09,DS 30-TON CW UNIT
E-2020 AC-04,EMERSON/LIEBERT,DS105WUAOE1030A,C08G8G0013,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/16/2015 12:09,DS 30-TON CW UNIT
E-2020 AC-06,EMERSON/LIEBERT,DS105WUAOE1030A,C08G8G0016,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/16/2015 12:09,DS 30-TON CW UNIT
E-2020 AC-07,EMERSON/LIEBERT,DS105WUAOE1030A,C08G8G0015,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/16/2015 12:09,DS 30-TON CW UNIT
E-2020 AC-08,EMERSON/LIEBERT,DS105WUAOE1030A,C08G8G0012,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/16/2015 12:09,DS 30-TON CW UNIT
LG87 XDP-1,EMERSON/LIEBERT,XDP160RC,1/0816C10605,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87,NUIT-CI-SO,7/16/2015 12:09,XDH/EXTREME DENSITY IN-ROW
LG87 XDP-2,EMERSON/LIEBERT,XDP160RC,1/0816C10646,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87,NUIT-CI-SO,7/16/2015 12:09,XDH/EXTREME DENSITY IN-ROW
C-710 STULZ AC-1,STULTZ,OHS-120-DAHU,3183028,CHICAGO,ABBOTT HALL,2ND FLOOR,NUIT-CI-SO,7/16/2015 12:09,AIR PACKAGE
C-710 STULZ AC-2,STULTZ,OHS-120-DAHV,3183030,CHICAGO,ABBOTT HALL,2ND FLOOR,NUIT-CI-SO,7/16/2015 12:09,AIR PACKAGE
C-710 AC B-1,EMERSON/LIEBERT,BF102C-AA005133,765133-003,CHICAGO,ABBOTT HALL,BASEMENT,NUIT-CI-SO,7/16/2015 12:09,CHILLED WATER CHALLENGER
C-710 AC B-2,EMERSON/LIEBERT,BF102C-AA005133,765133-001,CHICAGO,ABBOTT HALL,BASEMENT,NUIT-CI-SO,7/16/2015 12:09,CHILLED WATER CHALLENGER
C-710 AC B-3,EMERSON/LIEBERT,BF102C-AA005133,765133-002,CHICAGO,ABBOTT HALL,BASEMENT,NUIT-CI-SO,7/16/2015 12:09,CHILLED WATER CHALLENGER
C-710 AC 2-1,EMERSON/LIEBERT,VH740C-AAEI,765133-004,CHICAGO,ABBOTT HALL,2ND FLOOR,NUIT-CI-SO,7/16/2015 12:09,CHILLED WATER DELUXE
C-710 AC 2-2,EMERSON/LIEBERT,VH740C-AAEI,765133-006,CHICAGO,ABBOTT HALL,2ND FLOOR,NUIT-CI-SO,7/16/2015 12:09,CHILLED WATER DELUXE
C-710 AC 2-3,EMERSON/LIEBERT,VH740C-AAEI,79395-001,CHICAGO,ABBOTT HALL,2ND FLOOR,NUIT-CI-SO,7/16/2015 12:09,CHILLED WATER DELUXE
C-710 CHILLER - 1,CARRIER,30RAN055E--611CX,3805Q04602,CHICAGO,ABBOTT HALL,ROOF,NUIT-CI-SO,4/26/2017 17:02,CHILLER
C-710 CHILLER - 2,CARRIER,30RAN055E--611CX,3605Q04590,CHICAGO,ABBOTT HALL,ROOF,NUIT-CI-SO,4/26/2017 17:02,CHILLER
C-710 CHILLER - 3,CARRIER,30RAN055055E-GHCX,3605Q04586,CHICAGO,ABBOTT HALL,ROOF,NUIT-CI-SO,8/4/2016 9:50,CHILLER
C-710 FAN WALL,FANTECH,FADE 18-4,872364,CHICAGO,ABBOTT HALL,243,NUIT-CI-SO,7/16/2015 12:09,EXHAUST FAN
C-710 FREQUENCY DRIVE 1,DANFOSS,131F1798,000424H201,CHICAGO,ABBOTT HALL,MEZZANINE,NUIT-CI-SO,7/16/2015 12:09,FREQUENCY DRIVES
C-710 FREQUENCY DRIVE 2,DANFOSS,131F1798,000224H201,CHICAGO,ABBOTT HALL,MEZZANINE,NUIT-CI-SO,7/16/2015 12:09,FREQUENCY DRIVES
C-710 FREQUENCY DRIVE 3,DANFOSS,131F1798,000324H201,CHICAGO,ABBOTT HALL,MEZZANINE,NUIT-CI-SO,7/16/2015 12:09,FREQUENCY DRIVES
C-710 CWP-01,B&G,,C130151-01F11,CHICAGO,ABBOTT HALL,MEZZANINE,NUIT-CI-SO,7/16/2015 12:09,WATER PUMP
C-710 CWP-02,B&G,,C130151-02F11,CHICAGO,ABBOTT HALL,MEZZANINE,NUIT-CI-SO,7/16/2015 12:09,WATER PUMP
C-710 CWP-03,B&G,,C130151-03F11,CHICAGO,ABBOTT HALL,MEZZANINE,NUIT-CI-SO,7/16/2015 12:09,WATER PUMP
E-2001 AIR CONDITIONER-4,EMERSON/LIEBERT,BE061G-CA004068,874068-005,EVANSTON,LEVERONE HALL,UPS ROOM,NUIT-CI-SO,7/16/2015 12:09,CHALLENGER A/C
E-2001 AIR CONDITIONER-5,EMERSON/LIEBERT,BE061G-CA004068,874068-004,EVANSTON,LEVERONE HALL,UPS ROOM,NUIT-CI-SO,7/16/2015 12:09,CHALLENGER A/C
E-2001 AIR CONDITIONER-6,EMERSON/LIEBERT,BU046WGAA00148,891488-001,EVANSTON,LEVERONE HALL,LAB,NUIT-CI-SO,7/16/2015 12:09,CHALLENGER A/C
E-2001 AIR CONDITIONER-1,EMERSON/LIEBERT,VE192G-CA014068,874068-003,EVANSTON,LEVERONE HALL,SWITCH ROOM,NUIT-CI-SO,7/16/2015 12:09,DELUXE A/C
E-2001 AIR CONDITIONER-2,EMERSON/LIEBERT,VE116G-CA014068,874068-001,EVANSTON,LEVERONE HALL,SWITCH ROOM,NUIT-CI-SO,7/16/2015 12:09,DELUXE A/C
E-2001 AIR CONDITIONER-3,EMERSON/LIEBERT,VE116G-CA014068,874068-002,EVANSTON,LEVERONE HALL,SWITCH ROOM,NUIT-CI-SO,7/16/2015 12:09,DELUXE A/C
LG87 EXHAUST FAN,COOK,120SQN,701,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87,NUIT-CI-SO,7/16/2015 12:09,EXHAUST FAN
LG87 HUMIDIFIER,STULTZ,BNU-6000,,EVANSTON,TECHNOLOGICAL INSTITUTE,LG87,NUIT-CI-SO,7/17/2015 14:44,HUMIDIFIER
E-2020 AC-11,EMERSON/LIEBERT,DS105AUAOE1029A,C08G8E0087,EVANSTON,2020 RIDGE AV,172,NUIT-CI-SO,7/16/2015 12:09,AIR COOLED 30-TON CRAC
