"Object_Type","Name","FQDN","Guest","CPU_Socket_Count","Cores_Per_Socket","Total_Cores_Assigned","Memory_GB","Provisioned_Space_GB","Used_Space_GB","NIC_Count","Network_Name","Datastore_Path","DataCenter","Cluster_Name","vDC_Name"
"VM","vfsmdc04.fsm.northwestern.edu","vfsmdc04.fsm.northwestern.edu","Microsoft Windows Server 2012 (64-bit)","4","1","4","8","148","148","1","dvPortGroup_VMNET_CH_Feinberg_Restricted_DMZ",,"NUCLOUD","CHVCENTERCLOUD1","Feinberg_CH_vDC"
"VM","CHStaffFS02.Library.northwestern.edu","CHStaffFS02.library.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","8","2668","2668","1","dvPortGroup_VMNET_CH_NUL",,"NUCLOUD","CHVCENTERCLOUD1","NUL_CH_vDC"
"VM","CHStaffFS01-S.ADLibrary.northwestern.edu","CHStaffFS01-S.adlibrary.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","4","2152","299","1","dvPortGroup_VMNET_CH_NUL",,"NUCLOUD","CHVCENTERCLOUD1","NUL_CH_vDC"
"VM","CHDC01-S.ADLibrary.northwestern.edu","CHDC01-S.adlibrary.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","4","179","179","1","dvPortGroup_VMNET_CH_NUL",,"NUCLOUD","CHVCENTERCLOUD1","NUL_CH_vDC"
"VM","vfsmcdsiapps01.fsm.northwestern.edu_replica",,"Red Hat Enterprise Linux 7 (64-bit)","2","1","2","16","676","311","1","VM Network",,"NUCLOUD","CHVCENTERCLOUD1","Feinberg_CH_vDC"
"VM","vfsmstdb01n2.fsm.northwestern.edu","vfsmstdb01n2.fsm.northwestern.edu","Red Hat Enterprise Linux 7 (64-bit)","2","1","2","16","196","196","1","dvPortGroup_VMNET_CH_Feinberg_Internal",,"NUCLOUD","CHVCENTERCLOUD1","Feinberg_CH_vDC"
"VM","MStork-CH.ADLibrary.northwestern.edu","MStork-CH.adlibrary.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","6","106","25","1","dvPortGroup_VMNET_CH_NUL",,"NUCLOUD","CHVCENTERCLOUD1","NUL_CH_vDC"
"VM","vtfsmcdsidb01n2.fsm.northwestern.edu",,,"1","1","1","4","314","299","1","dvPortGroup_VMNET_CH_Feinberg_Internal",,"NUCLOUD","CHVCENTERCLOUD1","Feinberg_CH_vDC"
"VM","MStork-CH.library.northwestern.edu","MStork-CH.library.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","6","106","30","1","dvPortGroup_VMNET_CH_NUL",,"NUCLOUD","CHVCENTERCLOUD1","NUL_CH_vDC"
"VM","CHStaffFS02-S.ADLibrary.northwestern.edu","CHStaffFS02-S.adlibrary.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","4","1128","241","1","dvPortGroup_VMNET_CH_NUL",,"NUCLOUD","CHVCENTERCLOUD1","NUL_CH_vDC"
"VM","vfsmweb02.fsm.northwestern.edu","vfsmweb02.fsm.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","8","188","171","1","dvPortGroup_VMNET_CH_Feinberg_Public_DMZ",,"NUCLOUD","CHVCENTERCLOUD1","Feinberg_CH_vDC"
"VM","vtfsmweb02.fsm.northwestern.edu","vtfsmweb02.fsm.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","8","188","164","1","dvPortGroup_VMNET_CH_Feinberg_Public_DMZ",,"NUCLOUD","CHVCENTERCLOUD1","Feinberg_CH_vDC"
"VM","CHStaffFS01.library.northwestern.edu","CHStaffFS01.library.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","8","6252","6252","1","dvPortGroup_VMNET_CH_NUL",,"NUCLOUD","CHVCENTERCLOUD1","NUL_CH_vDC"
"VM","gfa2.library.northwestern.edu","gfa2.library.northwestern.edu","Red Hat Enterprise Linux 7 (64-bit)","1","2","2","4","68","68","1","dvPortGroup_VMNET_CH_NUL",,"NUCLOUD","CHVCENTERCLOUD1","NUL_CH_vDC"
"VM","vtfsmstdb01n2.fsm.northwestern.edu","vtfsmstdb01n2.fsm.northwestern.edu","Red Hat Enterprise Linux 7 (64-bit)","2","1","2","4","164","164","1","dvPortGroup_VMNET_CH_Feinberg_Internal",,"NUCLOUD","CHVCENTERCLOUD1","Feinberg_CH_vDC"
"VM","CHDC01.library.northwestern.edu","CHDC01.library.northwestern.edu","Microsoft Windows Server 2016 or later (64-bit)","2","1","2","6","181","181","1","dvPortGroup_VMNET_CH_NUL",,"NUCLOUD","CHVCENTERCLOUD1","NUL_CH_vDC"
"VM","CS-POC-WinXP-1",,,"1","1","1","2","0","0","1","dvPortGroup_ISSC",,"NUCLOUD",,"ISSC-vDC"
"VM","SAF-WS16DDBVMC",,,"1","2","2","4","0","0","1","dvPortGroup_VMNET_Student_Affairs_VLAN2472",,"NUCLOUD",,"StudentAffairs_vDC"
"VM","OPENMANAGE",,,"1","2","2","4","64","39","2","dvPortGroup_VMNET_SoC1",,"NUCLOUD","EVVCENTERCLOUD1","SoC_vDC"
"VM","Windows Server 2008 R2 Enterprise Clean","Win2k8r2entclean",,"1","1","1","2","0","0","1","dvPortGroup_VMNET_FWNUL",,"NUCLOUD",,"NUL-vDC"
"VM","ISSC-SCAN","ISSC-SCAN","Microsoft Windows Server 2012 (64-bit)","1","4","4","16","78","62","1","dvPortGroup_ISSC",,"NUCLOUD","EVVCENTERCLOUD1","ISSC-vDC"
"VM","PCEDEVTEST1",,,"2","1","2","4","0","0","1","dvPortGroup_VMNET_PCE",,"NUCLOUD",,"PCE-vDC"
"VM","W08R2S_VNUINVESTAXY","VNUINVESTAXY.ivm.northwestern.edu",,"2","1","2","4","0","0","1","dvPortGroup_VMNET_Investments",,"NUCLOUD",,"Investments_vDC"
"VM","PCEDEVDC",,,"1","2","2","8","0","0","1","dvPortGroup_VMNET_PCE",,"NUCLOUD",,"PCE-vDC"
