                                      name                                      |                  fqdn                   |                 os                  
--------------------------------------------------------------------------------+-----------------------------------------+-------------------------------------
 RAILS-PROD.BIOINFORMATICS.NORTHWESTERN.EDU                                     | CONVERTER                               | RED HAT ENTERPRISE LINUX 4 (32-BIT)
 ADMIN.NUBIC.NORTHWESTERN.EDU                                                   | CONVERTER                               | RED HAT ENTERPRISE LINUX 5 (64-BIT)
 CLINICAL-RAILS-PROD.FSM.NORTHWESTERN.EDU                                       |                                         | RED HAT ENTERPRISE LINUX 5 (64-BIT)
 CODE.BIOINFORMATICS.NORTHWESTERN.EDU                                           | CONVERTER                               | RED HAT ENTERPRISE LINUX 5 (64-BIT)
 KRG-SVN_REPLICA                                                                |                                         | RED HAT ENTERPRISE LINUX 5 (64-BIT)
 KRG-WEB1_REPLICA                                                               | KRG-WEB1                                | RED HAT ENTERPRISE LINUX 5 (64-BIT)
 NEW-WEBAPPS1                                                                   | WEBAPPS1.AD.WCAS.NORTHWESTERN.EDU       | RED HAT ENTERPRISE LINUX 5 (64-BIT)
 NEW-WEBAPPS2                                                                   | WEBAPPS2.AD.WCAS.NORTHWESTERN.EDU       | RED HAT ENTERPRISE LINUX 5 (64-BIT)
 NOTIS-STAGING.FSM.NORTHWESTERN.EDU                                             |                                         | RED HAT ENTERPRISE LINUX 5 (64-BIT)
 PROSIGHT HEAD NODE_REPLICA                                                     |                                         | RED HAT ENTERPRISE LINUX 5 (64-BIT)
 PSTAGE                                                                         |                                         | RED HAT ENTERPRISE LINUX 5 (64-BIT)
 RAILS-STAGING2.NUBIC.NORTHWESTERN.EDU                                          |                                         | RED HAT ENTERPRISE LINUX 5 (64-BIT)
 SPEEDY.LIBRARY.NORTHWESTERN.EDU                                                | SPEEDY.LIBRARY.NORTHWESTERN.EDU         | RED HAT ENTERPRISE LINUX 5 (64-BIT)
 VFSMDICTYWIKI                                                                  |                                         | RED HAT ENTERPRISE LINUX 5 (64-BIT)
 ALMATRON-P.LIBRARY.NORTHWESTERN.EDU (6D6898CA-4B36-4C9C-B957-DA5C1A348647)     | ALMATRON-P                              | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 ALMATRON-S.LIBRARY.NORTHWESTERN.EDU (71C23E18-E101-4182-AD3B-513205C59A34)     | ALMATRON-S.LIBRARY.NORTHWESTERN.EDU     | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 ANSEL-S.LIBRARY.NORTHWESTERN.EDU (EB809DB4-6650-4E8D-B46A-718B037D9F2B)        | ANSEL-S.LIBRARY.NORTHWESTERN.EDU        | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 ARCHIVAL-D.LIBRARY.NORTHWESTERN.EDU                                            | ARCHIVAL-D.LIBRARY.NORTHWESTERN.EDU     | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 ARCHIVAL-TEST.LIBRARY.NORTHWESTERN.EDU                                         | ARCHIVAL-TEST.LIBRARY.NORTHWESTERN.EDU  | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 AWSLYNC.LIBRARY.NORTHWESTERN.EDU                                               | AWSLYNC.LIBRARY.NORTHWESTERN.EDU        | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 BARTLETT-P.LIBRARY.NORTHWESTERN.EDU (E67EAB89-53F1-49D6-8950-822A85E678A7)     | BARTLETT-P.LIBRARY.NORTHWESTERN.EDU     | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 CHEMATIX                                                                       | CHEMATIX.WCAS.NORTHWESTERN.EDU          | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 CURTIS-P.LIBRARY.NORTHWESTERN.EDU (78621FC1-B93D-4172-A0CA-02043C03D80C)       | CURTIS-P.LIBRARY.NORTHWESTERN.EDU       | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 CURTIS-S.LIBRARY.NORTHWESTERN.EDU (DA47842E-8873-4B79-9CD4-E330573DA8C2)       | CURTIS-S.LIBRARY.NORTHWESTERN.EDU       | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 DB-PROD.DICTYBASE.ORG                                                          | CONVERTER                               | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 DB3                                                                            | DB3.AD.WCAS.NORTHWESTERN.EDU            | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 DBTEST                                                                         | WIT-DBTEST.WCAS.NORTHWESTERN.EDU        | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 DIGITAL-P.LIBRARY.NORTHWESTERN.EDU (000ED080-021C-4530-A9B6-538BA004C130)      | DIGITAL-P.LIBRARY.NORTHWESTERN.EDU      | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 DIGITAL-S.LIBRARY.NORTHWESTERN.EDU (1F84E97C-C732-4DEF-891B-84476C921712)      | DIGITAL-S.LIBRARY.NORTHWESTERN.EDU      | RED HAT ENTERPRISE LINUX 6 (64-BIT)
 DISCOLIB1-D.LIBRARY.NORTHWESTERN.EDU                                           | DISCOLIB1-D                             | RED HAT ENTERPRISE LINUX 6 (64-BIT)
