name,fqdn,guest
VFSMDC04.FSM.NORTHWESTERN.EDU,VFSMDC04.FSM.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2012 (64-BIT)
CHSTAFFFS02.LIBRARY.NORTHWESTERN.EDU,CHSTAFFFS02.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
CHSTAFFFS01-S.ADLIBRARY.NORTHWESTERN.EDU,CHSTAFFFS01-S.ADLIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
CHDC01-S.ADLIBRARY.NORTHWESTERN.EDU,CHDC01-S.ADLIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
VFSMCDSIAPPS01.FSM.NORTHWESTERN.EDU_REPLICA,,RED HAT ENTERPRISE LINUX 7 (64-BIT)
VFSMSTDB01N2.FSM.NORTHWESTERN.EDU,VFSMSTDB01N2.FSM.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
MSTORK-CH.ADLIBRARY.NORTHWESTERN.EDU,MSTORK-CH.ADLIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
VTFSMCDSIDB01N2.FSM.NORTHWESTERN.EDU,,
MSTORK-CH.LIBRARY.NORTHWESTERN.EDU,MSTORK-CH.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
CHSTAFFFS02-S.ADLIBRARY.NORTHWESTERN.EDU,CHSTAFFFS02-S.ADLIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
VFSMWEB02.FSM.NORTHWESTERN.EDU,VFSMWEB02.FSM.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
VTFSMWEB02.FSM.NORTHWESTERN.EDU,VTFSMWEB02.FSM.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
CHSTAFFFS01.LIBRARY.NORTHWESTERN.EDU,CHSTAFFFS01.LIBRARY.NORTHWESTERN.EDU,MICROSOFT WINDOWS SERVER 2016 OR LATER (64-BIT)
GFA2.LIBRARY.NORTHWESTERN.EDU,GFA2.LIBRARY.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
VTFSMSTDB01N2.FSM.NORTHWESTERN.EDU,VTFSMSTDB01N2.FSM.NORTHWESTERN.EDU,RED HAT ENTERPRISE LINUX 7 (64-BIT)
