IP	Name	Module_num	Model	Serial	Software	firmware	memory	HW	Last Seen	Module ip	
10.100.10.103	willard-b042-00a-esw-1	3	WS-C3850-48P-L	FOC2142X1DS	Denali 16.3.8		0	V07	4/27/20 1:00	0.0.0.0	
10.100.10.103	willard-b042-00a-esw-1	2	WS-C3850-48P-L	FCW2143C0QZ	Denali 16.3.8		0	V07	4/27/20 1:00	0.0.0.0	
10.100.22.33	750nlsd-12-190-esw-1	0	3850-stack	FCW2022C1JZ	Denali 16.3.9		0		4/27/20 1:00	0.0.0.0	
10.100.22.33	750nlsd-12-190-esw-1	1	WS-C3850-48P-L	FOC1903X06N	Denali 16.3.9		0	V05	4/27/20 1:00	0.0.0.0	
10.100.22.33	750nlsd-12-190-esw-1	2	WS-C3850-48P-L	FCW2022C1JZ	Denali 16.3.9		0	V06	4/27/20 1:00	0.0.0.0	
10.100.22.33	750nlsd-12-190-esw-1	3	WS-C3850-48P-L	FOC1903U0MD	Denali 16.3.9		0	V05	4/27/20 1:00	0.0.0.0	
10.100.10.103	willard-b042-00a-esw-1	1	WS-C3850-48P-L	FOC2120U0QT	Denali 16.3.8		0	V07	4/27/20 1:00	0.0.0.0	
10.100.10.103	willard-b042-00a-esw-1	0	3850-stack	FOC2120U0QT	Denali 16.3.8		0		4/27/20 1:00	0.0.0.0	
10.100.10.101	700univ-1-esw-1	0	WS-C3850-48P-L	FOC2120L0L1	Denali 16.3.9		0	V07	4/27/20 1:00	0.0.0.0	
199.249.169.169	tech-rtr-6	2	N7K-M108X2-12L	JAF1626BHKR	6.2(20a)	6.2(20a)	0	V04	4/27/20 1:00	0.0.0.0	
10.100.24.43	345sup-15-esw-1	0	3850-stack	FCW1818C0J0	Denali 16.3.9		0		4/27/20 1:00	0.0.0.0	
10.100.10.95	health-b-esw-1	0	3850-stack	FOC2035X0J1	Denali 16.3.9		0		4/27/20 1:00	0.0.0.0	
10.100.10.95	health-b-esw-1	6	WS-C3850-48P-L	FCW2035D0EY	Denali 16.3.9		0	V07	4/27/20 1:00	0.0.0.0	
10.100.10.95	health-b-esw-1	5	WS-C3850-48P-L	FOC2035X0J7	Denali 16.3.9		0	V07	4/27/20 1:00	0.0.0.0	
10.100.10.95	health-b-esw-1	4	WS-C3850-48P-L	FOC2035X0J1	Denali 16.3.9		0	V07	4/27/20 1:00	0.0.0.0	
10.100.24.43	345sup-15-esw-1	1	WS-C3850-48P-L	FCW1818C0J0	Denali 16.3.9		0	V03	4/27/20 1:00	0.0.0.0	
10.100.24.43	345sup-15-esw-1	2	WS-C3850-48P-L	FCW2106F0XE	Denali 16.3.9		0	V07	4/27/20 1:00	0.0.0.0	
