                 name                 |        type        |      vendor       |                 model                 |                         serial_number                          | cabinet 
--------------------------------------+--------------------+-------------------+---------------------------------------+----------------------------------------------------------------+---------
 CHDC-232-021535-ESW-1                |                    | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451150                                                    | 0215.35
 CHDC-232-021535-ESW-2                |                    | ARISTA NETWORKS   | DCS-7050T-36                          | JPE12451279                                                    | 0215.35
 CHDC-232-021539-ESW-1                |                    | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 0215.39
 CHDC-232-021539-ESW-2                |                    | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 0215.39
 ABBT-VPN-RTR-3                       |                    | CISCO SYSTEMS     | ASR1000-RP2                           | FXS2018Q37D                                                    | 0215.37
 CH9148-C1                            |                    | CISCO SYSTEMS     | MDS 9148S                             | JPG214700HY                                                    | 0214.33
 CH9148-D1                            |                    | CISCO SYSTEMS     | MDS 9148S                             | JPG214700MV                                                    | 0214.33
 CHDC-UDS6GTWY                        |                    | CISCO SYSTEMS     | CISCO 4451-X                          |                                                                | 0215.40
 1-POWERSWITCH S5148F                 |                    | DELL              | POWERSWITCH S5148F-ON                 |                                                                | 0216.39
 2-POWERSWITCH S5148F                 |                    | DELL              | POWERSWITCH S5148F-ON                 |                                                                | 0216.39
 3-POWERSWITCH S5148F                 |                    | DELL              | POWERSWITCH S5148F-ON                 | FGQZZP2                                                        | 0216.39
 4-POWERSWITCH S5148F                 |                    | DELL              | POWERSWITCH S5148F-ON                 |                                                                | 0216.39
 ABBT-234-021535-FW-1                 |                    | JUNIPER NETWORKS  | GATEWAY SRX 240                       | BU3713AK0780                                                   | 0215.35
 CHDC-232-021536-1-LAW                |                    | JUNIPER NETWORKS  | GATEWAY SRX 220                       |                                                                | 0215.36
 CHDC-232-021540-FW-1-CI-NODE0        |                    | JUNIPER NETWORKS  | GATEWAY SRX 1500- AC                  | DB3616AK3399                                                   | 0215.40
 CHDC-232-021540-FW-1-CI-NODE1        |                    | JUNIPER NETWORKS  | GATEWAY SRX 1500- AC                  | DB3616AK3409                                                   | 0215.40
 CH-ECS_RU10                          | BLADE CHASSIS      | DELL              | DSS7000                               |                                                                | 0216.39
 CH-ECS_RU2                           | BLADE CHASSIS      | DELL              | DSS7000                               | 16B83W2                                                        | 0216.39
 CH-ECS_RU6                           | BLADE CHASSIS      | DELL              | DSS7000                               | 16C43W2                                                        | 0216.39
 16D43W2^^7242^^7242                  | BLADE SERVER       | DELL              | DSS7500                               |                                                                | 0216.39
 16F33W2^^7243^^7243                  | BLADE SERVER       | DELL              | DSS7500                               |                                                                | 0216.39
 1K393W2^^7240^^7240                  | BLADE SERVER       | DELL              | DSS7500                               |                                                                | 0216.39
 1K693W2^^7239^^7239                  | BLADE SERVER       | DELL              | DSS7500                               |                                                                | 0216.39
 BZP63W2^^7248^^7248                  | BLADE SERVER       | DELL              | DSS7500                               |                                                                | 0216.39
 BZR63W2^^7249^^7249                  | BLADE SERVER       | DELL              | DSS7500                               |                                                                | 0216.39
 0215.36 KVM                          | KVM                | AVOCENT           | CCM 1650                              | 020093042                                                      | 0215.36
 2161DS - 0215_37                     | KVM                | DELL              | POWEREDGE 2161DS-2                    | GSQZQ61                                                        | 0215.27
 2161DS - 215_37                      | KVM                | DELL              | POWEREDGE 2161DS-2                    | 65GKR81                                                        | 0215.37
 KVM                                  | KVM                | IBM               | 1RU KVM SWITCH                        |                                                                | 0215.31
 215_37 KVM CONSOLE                   | MONITOR            | DELL              | POWEREDGE CONSOLE 15FP                |                                                                | 0215.37
 214.34 NEXUS NODE 0                  | NETWORK APPLIANCES | CISCO SYSTEMS     | NEXUS N7K-C7710                       |                                                                | 214.34
 214.35 NEXUS 1                       | NETWORK APPLIANCES | CISCO SYSTEMS     | NEXUS N7K-C7710                       |                                                                | 214.35
 CHDC-232-21537-LTM-1                 | NETWORK APPLIANCES | F5 NETWORKS       | VIPRION 2400                          | CHS405057S                                                     | 0215.38
 CHDC-232-21537-LTM-2                 | NETWORK APPLIANCES | F5 NETWORKS       | VIPRION 2400                          | BLD480213S                                                     | 0215.37
 214.34 JUNIPER NODE 0                | NETWORK APPLIANCES | JUNIPER NETWORKS  | GATEWAY SRX 5600                      |                                                                | 214.34
 214.35 JUNIPER NODE 1                | NETWORK APPLIANCES | JUNIPER NETWORKS  | GATEWAY SRX 5600                      |                                                                | 214.35
 CHDC-232-021523-FW-1-KGSM            | NETWORK FIREWALL   | JUNIPER NETWORKS  | ACCELERATOR DX 3680 FIPS              | JN116EFE6ADB                                                   | 0215.23
 WIE-201A-FW-KGSM-01^^6792            | NETWORK FIREWALL   | JUNIPER NETWORKS  | ACCELERATOR DX 3680 FIPS              |                                                                | 
 CHDC-215-23-ESW-2                    | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 0215.23
 CHDC-215-23-ESW-2-01^^6794           | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 
 CHDC-215.23-ESW-1                    | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 0215.23
 CHDC-215.23-ESW-1-01^^6793           | NETWORK SWITCH     | ARISTA NETWORKS   | DCS-7050T-36                          |                                                                | 
