 fin_ops_asset_tag |  fin_ops_serial   | fin_ops_po |   dct_po   |                  dct_serial                  |   dct_make    |      dct_model      | dct_type |           dct_name            
-------------------+-------------------+------------+------------+----------------------------------------------+---------------+---------------------+----------+-------------------------------
                   |                   |            |            | FCH2040V0T9                                  | CISCO SYSTEMS | USC C240 M4SX       | SERVER   | EV-UCESX01
                   |                   |            |            | FCH2040V0CZ                                  | CISCO SYSTEMS | USC C240 M4SX       | SERVER   | EV-UCESX02
                   |                   |            |            | FCH2039V4FM                                  | CISCO SYSTEMS | USC C240 M4SX       | SERVER   | EV-UCESX03
                   |                   |            |            | FCH2117V0H9                                  | CISCO SYSTEMS | UCS C240 M3         | SERVER   | EV-UCESX04
                   |                   |            |            | FCH1922V0EU                                  | CISCO SYSTEMS | UCS C240 M3         | SERVER   | EV-UCESX05
                   |                   |            | PUR1021987 | 9L5L382                                      | CODE42        | M1                  | SERVER   | BACKUP1
 00085141          | C1HLT52           | PUR0881262 | PUR0881262 | C1HLT52                                      | DELL          | R730                | SERVER   | ALPS.LIBRARY.NORTHWESTERN.EDU
                   |                   |            |            | 4N2GTK1                                      | DELL          | POWEREDGE R610      | SERVER   | ANSEL
 00080285          | 1CT7CZ1           | PUR0670812 | PUR0670812 | 1CT7CZ1                                      | DELL          | POWEREDGE R620      | SERVER   | AVALON
                   |                   |            | PUR0613872 | F2HXHX1                                      | DELL          | POWEREDGE R620      | SERVER   | BIGBEND
                   |                   |            | PUR0909817 | 236P182                                      | DELL          | POWEREDGE R730XD    | SERVER   | COIPROD
                   |                   |            | PUR0909817 | 235T182                                      | DELL          | POWEREDGE R730XD    | SERVER   | COIPRODDATA
                   |                   |            | PUR0909817 | 235S183                                      | DELL          | POWEREDGE R730XD    | SERVER   | COITEST
                   |                   |            | PUR0909817 | 235V182                                      | DELL          | POWEREDGE R730XD    | SERVER   | COITESTDATA
                   |                   |            |            | 826MKB2                                      | DELL          | POWEREDGE 1750      | SERVER   | ERATABLEAU
                   |                   |            | PUR0927505 | DG12182                                      | DELL          | POWEREDGE R630      | SERVER   | EVADSDC4
 00079104          | 2JPN3V1           | PUR0447613 |            | 2JPN3V1                                      | DELL          | POWEREDGE R720XD    | SERVER   | EVAIRWAVE
 00079103          | BZNN3V1           | PUR0447586 |            | BZNN3V1                                      | DELL          | POWEREDGE R720XD    | SERVER   | EVAIRWAVE2.CI
 00080220          | 5XQ3V52           | PUR0886039 | PUR0886039 | 5XQ3V52                                      | DELL          | POWEREDGE R730XD    | SERVER   | EVAIRWAVE3.CI
 00077005          | 53NGXQ1           | PUR0335239 |            | 53NGXQ1                                      | DELL          | POWEREDGE R710      | SERVER   | EVCSPDPM01
 00077004          | 53NJXQ1           | PUR0335239 |            | 53NJXQ1                                      | DELL          | POWEREDGE R710      | SERVER   | EVCSPDPM02
 00078671          | 5G79ZV1           | PUR0527753 | PUR0527753 | 5G79ZV1                                      | DELL          | POWEREDGE R720      | SERVER   | EVCSPDPM03
 00079114          | 3YQTGX1           | PUR0596893 |            | 3YQTGX1                                      | DELL          | POWEREDGE R720      | SERVER   | EVCSPMBX01
 00079112          | 3YQSGX1           | PUR0596893 |            | 3YQSGX1                                      | DELL          | POWEREDGE R720      | SERVER   | EVCSPMBX02
 00079109          | 3YPVGX1           | PUR0596893 |            | 3YPVGX1                                      | DELL          | POWEREDGE R720      | SERVER   | EVCSPMBX03
                   |                   |            | PUR0626536 | DRW48Y1                                      | DELL          | POWEREDGE R720      | SERVER   | EVCSPMBX04
 N0031584          | 4CPJV12           | PUR0737189 | PUR0737189 | 4CPJV12                                      | DELL          | POWEREDGE R720      | SERVER   | EVCSPMBX05
 N0031585          | 4CPKV12           | PUR0737189 | PUR0737189 | 4CPKV12                                      | DELL          | POWEREDGE R720      | SERVER   | EVCSPMBX06
