            asset_name             |     asset_type     |       make       |                 model                 |                         serial_number                          |   ip_address    |                              business_service                              |    asset_fucntion    | support_model  |  owner_department   |             owner_contact              |      technical_contact      | date_of_last_record_verification | installation_ticket | decommission_ticket | location | cabinet 
-----------------------------------+--------------------+------------------+---------------------------------------+----------------------------------------------------------------+-----------------+----------------------------------------------------------------------------+----------------------+----------------+---------------------+----------------------------------------+-----------------------------+----------------------------------+---------------------+---------------------+----------+---------
 2020RDG-IDF-Q39-ESW-1-01          | NETWORK SWITCH     | CISCO SYSTEMS    | CATALYST C3750G-24TS-1U               |                                                                |                 |                                                                            | DISTRIBUTION NETWORK |                | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-12-12 15:17:58-05           |                     |                     | EVDC     | Q39
 2020RDG-IDF-Q39-ESW-1-02          | NETWORK SWITCH     | CISCO SYSTEMS    | CATALYST C3750G-24TS-1U               |                                                                |                 |                                                                            | DISTRIBUTION NETWORK |                | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-12-12 15:19:44-05           |                     |                     | EVDC     | Q39
 2020RDG-IDF-R39-ESW-1             | NETWORK SWITCH     | CISCO SYSTEMS    | CATALYST C3750G-24TS-1U               |                                                                |                 |                                                                            | DISTRIBUTION NETWORK |                | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-12-12 15:20:49-05           |                     |                     | EVDC     | R39
 2020RDG-IDF-S39-ESW-1             | NETWORK SWITCH     | CISCO SYSTEMS    | CATALYST C3750G-24TS-1U               |                                                                |                 |                                                                            | DISTRIBUTION NETWORK |                | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-12-12 15:21:29-05           |                     |                     | EVDC     | S39
 2020RDG-IDF-S39-ESW-2             | NETWORK SWITCH     | CISCO SYSTEMS    | CATALYST C3750G-24TS-1U               |                                                                |                 |                                                                            | DISTRIBUTION NETWORK |                | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-12-12 15:21:45-05           |                     |                     | EVDC     | S39
 2020RDG-IDF-T34-ESW-2-01          | NETWORK SWITCH     | JUNIPER NETWORKS | SWITCH EX4200-24T 2PS                 | UV04551                                                        |                 |                                                                            | DISTRIBUTION NETWORK |                | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-12-12 15:22:10-05           |                     |                     | EVDC     | T34
 2020RDG-IDF-T39-ESW-1             | NETWORK SWITCH     | CISCO SYSTEMS    | CATALYST C3750G-24TS-1U               |                                                                |                 |                                                                            | DISTRIBUTION NETWORK |                | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-12-12 15:22:48-05           |                     |                     | EVDC     | T39
 2020RDG-IDF-T39-ESW-2             | NETWORK SWITCH     | CISCO SYSTEMS    | CATALYST C3750G-24TS-1U               |                                                                |                 |                                                                            | DISTRIBUTION NETWORK |                | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-12-12 15:23:19-05           |                     |                     | EVDC     | T39
 2020RDG-IDF-W34-ESW-1-01          | NETWORK SWITCH     | JUNIPER NETWORKS | SWITCH EX4200-24T 2PS                 |                                                                |                 |                                                                            | DISTRIBUTION NETWORK |                | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2011-12-14 10:21:25-05           |                     |                     | EVDC     | T34
 2020RDG-IDF-W34-ESW-2-01          | NETWORK SWITCH     | JUNIPER NETWORKS | SWITCH EX4200-24T 2PS                 |                                                                |                 |                                                                            | DISTRIBUTION NETWORK |                | SO                  | NUIT-CI-TNS-DATANETWORK                |                             | 2017-12-12 15:26:42-05           |                     |                     | EVDC     | T34
 2161DS - 0215_37                  | KVM                | DELL             | POWEREDGE 2161DS-2                    | GSQZQ61                                                        |                 |                                                                            | INFRASTRUCTURE       | INFRASTRUCTURE | SO                  | NUIT-CI-SO-SERVICEOPERATION            |                             | 2019-10-08 13:18:28-04           |                     |                     | CHDC     | 0215.27
 2161DS - T39                      | KVM                | DELL             | POWEREDGE 2161DS-2                    | C1P0M91                                                        |                 |                                                                            | INFRASTRUCTURE       | INFRASTRUCTURE | SO                  | NUIT-CI-SO-SERVICEOPERATION            |                             | 2018-05-08 12:40:30-04           |                     |                     | EVDC     | T39
