             name              |       type        |       make       |          model          |                serial_number                 | cabinet | function 
-------------------------------+-------------------+------------------+-------------------------+----------------------------------------------+---------+----------
 EVDC-UCS-GWY                  |                   | CISCO SYSTEMS    | CISCO 4451-X            | FCH2040VT9                                   | O39     | ADMIN
 MELLANOX SX6506               |                   | MELLANOX         | SX6506                  | MT1850VV00001                                | V43     | ADMIN
 EVISILON 37                   | BLADE SERVER      | EMC              | CELERRA NS40-AUXC ISCSI | JACNM194620077                               | V43     | ADMIN
 EVISILON 37  38  39  40       | BLADE SERVER      | EMC              | ISILON H400             |                                              | V43     | ADMIN
 2161DS - T39                  | KVM               | DELL             | POWEREDGE 2161DS-2      | C1P0M91                                      | T39     | ADMIN
 Q39 2161                      | KVM               | DELL             | KVM 2161DS              | CXQT331                                      | Q39     | ADMIN
 EVDC-O39-FW-1-CI-NODE0        | NETWORK FIREWALL  | JUNIPER NETWORKS | GATEWAY SRX 1500- AC    | DB3616AK3383                                 | O39     | ADMIN
 EVDC-O39-FW-1-CI-NODE1        | NETWORK FIREWALL  | JUNIPER NETWORKS | GATEWAY SRX 1500- AC    | DB3516AK3312                                 | O39     | ADMIN
 EVDC-039-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12482231                                  | O39     | ADMIN
 EVDC-O34-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-52            | JPE12490016                                  | O34     | ADMIN
 EVDC-O34-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-52            | JPE12530485                                  | O34     | ADMIN
 EVDC-O39-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050S-64            | JPE12480392                                  | O39     | ADMIN
 EVDC-P34-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-52            | JPE13030298                                  | P34     | ADMIN
 EVDC-P34-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-52            | JPE13030273                                  | P34     | ADMIN
 EVDC-P39-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12451152                                  | P39     | ADMIN
 EVDC-P39-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12480376                                  | P39     | ADMIN
 EVDC-Q34-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-52            | JPE12530449                                  | Q34     | ADMIN
 EVDC-Q34-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-52            | JPE12530466                                  | Q34     | ADMIN
 EVDC-Q39-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12431675                                  | Q39     | ADMIN
 EVDC-Q39-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12451277                                  | Q39     | ADMIN
 EVDC-R34-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-52            | JPE13030303                                  | R34     | ADMIN
 EVDC-R34-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-52            | JPE12530425                                  | R34     | ADMIN
 EVDC-R39-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12451241                                  | R39     | ADMIN
 EVDC-R39-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12421079                                  | R39     | ADMIN
 EVDC-S34-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-52            | JPE12490074                                  | S34     | ADMIN
 EVDC-S34-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-52            | JPE12431604                                  | S34     | ADMIN
 EVDC-S39-ESW-1                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12451158                                  | S39     | ADMIN
 EVDC-S39-ESW-2                | NETWORK SWITCH    | ARISTA NETWORKS  | DCS-7050T-36            | JPE12451285                                  | S39     | ADMIN
