                           dct_serial                           |  fin_ops_serial   | idrac_service_tag | ibm_serial |   dct_make    | dct_type |             dct_name              | fin_ops_po | idrac_end_date | ibm_end_date 
----------------------------------------------------------------+-------------------+-------------------+------------+---------------+----------+-----------------------------------+------------+----------------+--------------
 FCH2040V0T9                                                    |                   |                   |            | CISCO SYSTEMS | SERVER   | EV-UCESX01                        |            |                | 
 FCH2040V0CZ                                                    |                   |                   |            | CISCO SYSTEMS | SERVER   | EV-UCESX02                        |            |                | 
 FCH2039V4FM                                                    |                   |                   |            | CISCO SYSTEMS | SERVER   | EV-UCESX03                        |            |                | 
 FCH2117V0H9                                                    |                   |                   |            | CISCO SYSTEMS | SERVER   | EV-UCESX04                        |            |                | 
 FCH1922V0EU                                                    |                   |                   |            | CISCO SYSTEMS | SERVER   | EV-UCESX05                        |            |                | 
 9L5L382                                                        |                   |                   |            | CODE42        | SERVER   | BACKUP1                           |            |                | 
 C1HLT52                                                        | C1HLT52           | C1HLT52           |            | DELL          | SERVER   | ALPS.LIBRARY.NORTHWESTERN.EDU     | PUR0881262 | 7/31/2019      | 
 C1HLT52                                                        | C1HLT52           | C1HLT52           |            | DELL          | SERVER   | ALPS.LIBRARY.NORTHWESTERN.EDU     | PUR0881262 | 7/31/2019      | 
 4N2GTK1                                                        |                   |                   |            | DELL          | SERVER   | ANSEL                             |            |                | 
 1CT7CZ1                                                        | 1CT7CZ1           | 1CT7CZ1           |            | DELL          | SERVER   | AVALON                            | PUR0670812 | 12/10/2018     | 
 1CT7CZ1                                                        | 1CT7CZ1           | 1CT7CZ1           |            | DELL          | SERVER   | AVALON                            | PUR0670812 | 12/10/2018     | 
 F2HXHX1                                                        |                   | F2HXHX1           |            | DELL          | SERVER   | BIGBEND                           |            | 7/17/2019      | 
 F2HXHX1                                                        |                   | F2HXHX1           |            | DELL          | SERVER   | BIGBEND                           |            | 7/17/2019      | 
 DPTBJQ1                                                        | DPTBJQ1           |                   |            | DELL          | SERVER   | CHCSPDPM01                        | PUR0335217 |                | 
 DPV8JQ1                                                        | DPV8JQ1           |                   |            | DELL          | SERVER   | CHCSPDPM02                        | PUR0335217 |                | 
 JHPYNN1                                                        | JHPYNN1           |                   |            | DELL          | SERVER   | CHCSPDPM04                        | PUR0263482 |                | 
 3YNWGX1                                                        | 3YNWGX1           |                   |            | DELL          | SERVER   | CHCSPMBX03                        | PUR0596941 |                | 
 3YPSGX1                                                        | 3YPSGX1           |                   |            | DELL          | SERVER   | CHCSPMBX04                        | PUR0596941 |                | 
 4CPMV12                                                        |                   |                   |            | DELL          | SERVER   | CHCSPMBX05                        |            |                | 
 6FWC5X1                                                        |                   |                   |            | DELL          | SERVER   | CHCSPSFAST1                       |            |                | 
 5FWC5X1                                                        | 5FWC5X1           |                   |            | DELL          | SERVER   | CHCSPSFAST2                       | PUR0537238 |         



       | 
 F19GJS1                                                        | F19GJS1           |                   |            | DELL          | SERVER   | CHCSPSSQL1                        | PUR0412979 |                | 
 F1CCJS1                                                        | F1CCJS1           |                   |            | DELL          | SERVER   | CHCSPSSQL2                        | PUR0412979 |                | 
 7ZS6D42                                                        | 7ZS6D42           |                   |            | DELL          | SERVER   | CHESX20                           | PUR0849358 |                | 
 7ZS3D42                                                        | 7ZS3D42           |                   |            | DELL          | SERVER   | CHESX21                           | PUR0849358 |                | 
 7ZRCD42                                                        | 7ZRCD42           |                   |            | DELL          | SERVER   | CHESX22                           | PUR0849358 |                | 
 7ZS4D42                                                        |                   |                   |            | DELL          | SERVER   | CHESX23                           |            |                | 
 7YZWC42                                                        | 7YZWC42           |                   |            | DELL          | SERVER   | CHESX24                           | PUR0846848 |                | 
 8P99D42                                                        | 8P99D42           |                   |            | DELL          | SERVER   | CHESX25                           | PUR0849358 |                | 
 9FWXC42                                                        | 9FWXC42           |                   |            | DELL          | SERVER   | CHESX26                           | PUR0846848 |                | 
 7Z00D42                                                        | 7Z00D42           |                   |            | DELL          | SERVER   | CHESX27                           | PUR0846848 |                | 
 CQ5WT52                                                        | CQ5WT52           | CQ5WT52           |            | DELL          | SERVER   | CHESX28-215_28                    | PUR0883513 | 8/14/2020      | 
 CQ5XT52                                                        | CQ5XT52           | CQ5XT52           |            | DELL          | SERVER   | CHESX29-215_28                    | PUR0883513 | 8/14/2020      | 
 CQ6VT52                                                        | CQ6VT52           | CQ6VT52           |            | DELL          | SERVER   | CHESX30-215_28                    | PUR0883513 | 8/14/2020      | 
 CQ5ZT52                                                        | CQ5ZT52           | CQ5ZT52           |            | DELL          | SERVER   | CHESX31-215_28                    | PUR0883513 | 8/14/2020      | 
 JP0HHK2                                                        | JP0HHK2           |                   |            | DELL          | SERVER   | CHESXCLOUD01                      | PUR1201612 |                | 
 JP0HHL2                                                        | JP0HHL2           |                   |            | DELL          | SERVER   | CHESXCLOUD02                      | PUR1201612 |                | 
 JP0HXK2                                                        | JP0HXK2           |                   |            | DELL          | SERVER   | CHESXCLOUD03                      | PUR1201612 |                | 
 12R8HQ2                                                        |                   |                   |            | DELL          | SERVER   | CHITCSPDC                         |            |                | 
 F2JWHX1                                                        |                   |                   |            | DELL          | SERVER   | CHNBMS01                          |            |                | 
 4GSBHQ2                                                        | 4GSBHQ2           |                   |            | DELL          | SERVER   | CHNBMS02                          | PUR1333389 |                | 
 6ZPRN23                                                        |                   |                   |            | DELL          | SERVER   | CHRACS10                          |            |                | 
 6ZQRN23                                                        |                   |                   |            | DELL          | SERVER   | CHRACS11                          |            |                | 
 6ZPSN23                                                        |                   |                   |            | DELL          | SERVER   | CHRACS12                          |            |                | 
 6ZPQN23                                                        |                   |                   |            | DELL          | SERVER   | CHRACS13                          |            |                | 
 6ZNRN23                                                        |                   |                   |            | DELL          | SERVER   | CHRACS14                          |            |                | 
 D347P22                                                        |                   |                   |            | DELL          | SERVER   | CHRACS5                           |            |                | 
 D356P22                                                        |                   |                   |            | DELL          | SERVER   | CHRACS6                           |            |                | 
 D364P22                                                        | D364P22           |                   |            | DELL          | SERVER   | CHRACS7                           | PUR0783342 |                | 
 D346P22                                                        | D346P22           |                   |            | DELL          | SERVER   | CHRACS8                           | PUR0783342 |                | 
 D344P22                                                        | D344P22           |                   |            | DELL          | SERVER   | CHRACS9                           | PUR0783342 |                | 
 7DXOQD2                                                        |                   |                   |            | DELL          | SERVER   | CHSPLIDX04                        |            |                | 
 7DWXPD2                                                        |                   |                   |            | DELL          | SERVER   | CHSPLIDX05                        |            |                | 
 6MWJKS1                                                        | 6MWJKS1           |                   |            | DELL          | SERVER   | CHVMBKUP01                        | PUR0427791 |                | 
 8WYYHK2                                                        |                   |                   |            | DELL          | SERVER   | CHVMBKUP01A                       |            |                | 
 HHPGHB2                                                        | HHPGHB2           |                   |            | DELL          | SERVER   | CHVSRX01                          | PUR1001739 |                | 
