            device_name             | shipped_date |  end_date  | service_tag | dct_serial | dct_make |     dct_model     | dct_type |           dct_name            
------------------------------------+--------------+------------+-------------+------------+----------+-------------------+----------+-------------------------------
 ALPS2-IDRAC.ITCS.PRIVATE           | 7/31/2015    | 7/31/2019  | C1HLT52     | C1HLT52    | DELL     | R730              | SERVER   | ALPS.LIBRARY.NORTHWESTERN.EDU
 ALPS2-IDRAC.ITCS.PRIVATE           | 7/31/2015    | 7/31/2019  | C1HLT52     | C1HLT52    | DELL     | R730              | SERVER   | ALPS.LIBRARY.NORTHWESTERN.EDU
                                    |              |            |             | 4N2GTK1    | DELL     | POWEREDGE R610    | SERVER   | ANSEL
 ALPS-IDRAC.ITCS.PRIVATE            | 12/10/2013   | 12/10/2018 | 1CT7CZ1     | 1CT7CZ1    | DELL     | POWEREDGE R620    | SERVER   | AVALON
 ALPS-IDRAC.ITCS.PRIVATE            | 12/10/2013   | 12/10/2018 | 1CT7CZ1     | 1CT7CZ1    | DELL     | POWEREDGE R620    | SERVER   | AVALON
 BIGBEND-IDRAC.ITCS.PRIVATE         | 7/15/2013    | 7/17/2019  | F2HXHX1     | F2HXHX1    | DELL     | POWEREDGE R620    | SERVER   | BIGBEND
 BIGBEND-IDRAC.ITCS.PRIVATE         | 7/15/2013    | 7/17/2019  | F2HXHX1     | F2HXHX1    | DELL     | POWEREDGE R620    | SERVER   | BIGBEND
 COIPROD-IDRAC.ITCS.PRIVATE         | 10/14/2015   | 10/14/2020 | 236P182     | 236P182    | DELL     | POWEREDGE R730XD  | SERVER   | COIPROD
 COIPRODDATA-IDRAC.ITCS.PRIVATE     | 10/14/2015   | 10/14/2020 | 235T182     | 235T182    | DELL     | POWEREDGE R730XD  | SERVER   | COIPRODDATA
                                    |              |            |             | 235S183    | DELL     | POWEREDGE R730XD  | SERVER   | COITEST
 COITESTDATA-IDRAC.ITCS.PRIVATE     | 10/14/2015   | 10/14/2020 | 235V182     | 235V182    | DELL     | POWEREDGE R730XD  | SERVER   | COITESTDATA
 NUTABLEAU-IDRAC.ITCS.PRIVATE       | 7/13/2016    | 7/13/2020  | 826MKB2     | 826MKB2    | DELL     | POWEREDGE 1750    | SERVER   | ERATABLEAU
 EVADSDC4-IDRAC.ITCS.PRIVATE        | 11/30/2015   | 11/30/2020 | DG12182     | DG12182    | DELL     | POWEREDGE R630    | SERVER   | EVADSDC4
 EVAIRWAVE-IDRAC.ITCS.PRIVATE       | 4/30/2012    | 4/30/2018  | 2JPN3V1     | 2JPN3V1    | DELL     | POWEREDGE R720XD  | SERVER   | EVAIRWAVE
 EVAIRWAVE-IDRAC.ITCS.PRIVATE       | 4/30/2012    | 4/30/2018  | 2JPN3V1     | 2JPN3V1    | DELL     | POWEREDGE R720XD  | SERVER   | EVAIRWAVE
                                    |              |            |             | BZNN3V1    | DELL     | POWEREDGE R720XD  | SERVER   | EVAIRWAVE2.CI
 EVESXTNSC01N01-IDRAC.ITCS.PRIVATE  | 8/17/2015    | 8/17/2020  | 5XQ3V52     | 5XQ3V52    | DELL     | POWEREDGE R730XD  | SERVER   | EVAIRWAVE3.CI
 EVESXTNSC01N01-IDRAC.ITCS.PRIVATE  | 8/17/2015    | 8/17/2020  | 5XQ3V52     | 5XQ3V52    | DELL     | POWEREDGE R730XD  | SERVER   | EVAIRWAVE3.CI
 EVCSPDPM01-BK.ITCS.PRIVATE         | 7/21/2011    | 7/24/2018  | 53NGXQ1     | 53NGXQ1    | DELL     | POWEREDGE R710    | SERVER   | EVCSPDPM01
 EVCSPDPM02-BK.ITCS.PRIVATE         | 7/21/2011    | 7/24/2018  | 53NJXQ1     | 53NJXQ1    | DELL     | POWEREDGE R710    | SERVER   | EVCSPDPM02
                                    |              |            |             | 5G79ZV1    | DELL     | POWEREDGE R720    | SERVER   | EVCSPDPM03
 EVCSPMBX01-BKUP.ITCS.PRIVATE       | 6/18/2013    | 6/19/2019  | 3YQTGX1     | 3YQTGX1    | DELL     | POWEREDGE R720    | SERVER   | EVCSPMBX01
 EVCSPMBX02-BKUP.ITCS.PRIVATE       | 6/18/2013    | 6/19/2019  | 3YQSGX1     | 3YQSGX1    | DELL     | POWEREDGE R720    | SERVER   | EVCSPMBX02
 EVCSPMBX03-BKUP.ITCS.PRIVATE       | 6/18/2013    | 6/19/2019  | 3YPVGX1     | 3YPVGX1    | DELL     | POWEREDGE R720    | SERVER   | EVCSPMBX03
 EVCSPMBX04-BKUP.ITCS.PRIVATE       | 8/19/2013    | 8/20/2019  | DRW48Y1     | DRW48Y1    | DELL     | POWEREDGE R720    | SERVER   | EVCSPMBX04
 EVCSPMBX05-IDRAC.ITCS.PRIVATE      | 6/22/2014    | 6/22/2020  | 4CPJV12     | 4CPJV12    | DELL     | POWEREDGE R720    | SERVER   | EVCSPMBX05
 EVCSPMBX05-IDRAC.ITCS.PRIVATE      | 6/22/2014    | 6/22/2020  | 4CPJV12     | 4CPJV12    | DELL     | POWEREDGE R720    | SERVER   | EVCSPMBX05
