1              name              |      vendor      |       type        |          model          | contact  | service_owner_department |         service_owner_contact          |      technical_contact      | cabinet | function 

2 -------------------------------+------------------+-------------------+-------------------------+----------+--------------------------+----------------------------------------+-----------------------------+---------+----------

3  EVDC-UCS-GWY                  | CISCO SYSTEMS    |                   | CISCO 4451-X            |          | SO                       | NUIT-CI-TNS-VOICENETWORK               |                             | O39     | ADMIN

4  MELLANOX SX6506               | MELLANOX         |                   | SX6506                  | THALLORA | PIPS                     |                                        |                             | V43     | ADMIN

5  EVISILON 37                   | EMC              | BLADE SERVER      | CELERRA NS40-AUXC ISCSI |          | PIPS                     | NUIT-CI-PIPS-INFRASTRUCTURE            |                             | V43     | ADMIN

6  2161DS - T39                  | DELL             | KVM               | POWEREDGE 2161DS-2      |          | SO                       | NUIT-CI-SO-SERVICEOPERATION            |                             | T39     | ADMIN

7  Q39 2161                      | DELL             | KVM               | KVM 2161DS              |          | SO                       | NUIT-CI-SO-SERVICEOPERATION            | NUIT-SOC                    | Q39     | ADMIN

8  EVDC-O39-FW-1-CI-NODE0        | JUNIPER NETWORKS | NETWORK FIREWALL  | GATEWAY SRX 1500- AC    |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | O39     | ADMIN

9  EVDC-O39-FW-1-CI-NODE1        | JUNIPER NETWORKS | NETWORK FIREWALL  | GATEWAY SRX 1500- AC    |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | O39     | ADMIN

10  EVDC-039-ESW-2                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-36            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | O39     | ADMIN

11  EVDC-O34-ESW-1                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-52            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | O34     | ADMIN

12  EVDC-O34-ESW-2                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-52            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | O34     | ADMIN

13  EVDC-O39-ESW-1                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050S-64            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | O39     | ADMIN

14  EVDC-P34-ESW-1                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-52            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | P34     | ADMIN

15  EVDC-P34-ESW-2                | ARISTA NETWORKS  | NETWORK SWITCH    | DCS-7050T-52            |          | SO                       | NUIT-CI-TNS-DATANETWORK                |                             | P34     | ADMIN

