name,type,make,model,serial_number,ip_address,business_service,function,standard_category,contact_team,customer,technical_contact,last_updated_on,installation_ticket,decommission_ticket,location,cabinet
0214.01_DS3512-1,STORAGE,IBM,SYSTEM STORAGE DS3512,13D1FXM,,,PRODUCTION,EQUIPMENT,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 08:58:29-04,,,CH 8602 236,0214.01
0214.01 KVM,KVM,IBM,7316-TF3 (MONITOR/KEYBOARD TRAY),,,,INFRASTRUCTURE,INFRASTRUCTURE,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 08:59:28-04,,,CH 8602 236,0214.01
0214.02_25_BLACKBOX,NETWORK APPLIANCES,BLACKBOX,SW540A-R3,,,,EDGE NETWORK,EQUIPMENT,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 09:02:11-04,,,CH 8602 236,0214.02
0214.02_31_ESW-1,NETWORK SWITCH,ARISTA NETWORKS,DCS-7124S,ASASY-00001-06 BO,,,EDGE NETWORK,EQUIPMENT,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 09:02:35-04,,,CH 8602 236,0214.02
0214.02_33_ESW_2,NETWORK APPLIANCES,ALLIED TELESIS,AT-8000GS/24,A03968G083100205C,,,EDGE NETWORK,,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 09:03:10-04,,,CH 8602 236,0214.02
0214.02_38_FW_1,NETWORK FIREWALL,JUNIPER NETWORKS,GATEWAY SSG 5,0162112012001277,,,EDGE NETWORK,EQUIPMENT,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 09:03:39-04,,,CH 8602 236,0214.02
0214.03_22_SWITCH-1,NETWORK SWITCH,ALLIED TELESIS,AT-8000GS/24,A03968G082800463C,,,EDGE NETWORK,EQUIPMENT,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 09:04:03-04,,,CH 8602 236,0214.03
0214.03_23_SWITCH-2,NETWORK SWITCH,D-LINK,DES-3526,,,,EDGE NETWORK,EQUIPMENT,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 09:04:36-04,,,CH 8602 236,0214.03
0214.04_31_RTR_1,NETWORK ROUTER,CISCO SYSTEMS,ROUTER 1811,FTX1046Z1PC,,,EDGE NETWORK,,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 09:05:12-04,,,CH 8602 236,0214.04
0214.04_FUSEBOX,ELECTRICAL DEVICE,TRIMM,727 SERIES,,,,N/A,EQUIPMENT,ICAIR,ICAIR - OMNINET,JAKE SALLEE,2018-05-10 09:05:47-04,,,CH 8602 236,0214.04
