1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Category,Asset,Tag,Description,Purchase Date,Acquisition Date FY,Manufacturer,Model,Serial,Campus,Department,Department Description,Building,Building Name,Room,Name,Purchase,Re-inventory,PO,Chartstring,Cost,Dep Expense,Accum,Book Value,Federal Contrib,Fabricated,Subtype,Life,Prop Code Descr,Class,Class Descr,Floor,Quantity,Condition
,000000023795,00084642,NL410 NODES,6/15/18,2018," AHEAD, LLC",NL410-SAT-S12, ,EV,1729400,"Rsrch Cmptng, Stor, Ntwk & Fac",8844,2020 Ridge,00172, STEVE KWAK,,12/13/18,PUR1295104,812 1729400 80041168      ,"97,739.30","11,402.93","50,498.65","47,240.65",0.00,,000221,5.0,COMPUTER CLUSTER-5,001,COMPUTER EQUIPMENT,01,1,E
,000000023796,00084797,NL410 NODES,6/15/18,2018," AHEAD, LLC",NL410-SAT-S12, ,EV,1729400,"Rsrch Cmptng, Stor, Ntwk & Fac",8844,2020 Ridge,00172, STEVE KWAK,,12/13/18,PUR1295104,812 1729400 80041168      ,"97,739.30","11,402.93","50,498.65","47,240.65",0.00,,000221,5.0,COMPUTER CLUSTER-5,001,COMPUTER EQUIPMENT,01,1,E
,000000023797,00084459,NL410 NODES,6/15/18,2018," AHEAD, LLC",NL410-SAT-S12, ,CH,1729400,"Rsrch Cmptng, Stor, Ntwk & Fac",8602,Abbott Hall,00230, STEVE KWAK,,9/25/18,PUR1295104,812 1729400 80041168      ,"97,739.30","11,402.93","50,498.65","47,240.65",0.00,,000221,5.0,COMPUTER CLUSTER-5,001,COMPUTER EQUIPMENT,02,1,E
,000000023798,00084460,NL410 NODES,6/15/18,2018," AHEAD, LLC",NL410-SAT-S12, ,CH,1729400,"Rsrch Cmptng, Stor, Ntwk & Fac",8602,Abbott Hall,00230, STEVE KWAK,,9/25/18,PUR1295104,812 1729400 80041168      ,"97,739.28","11,402.93","50,498.65","47,240.63",0.00,,000221,5.0,COMPUTER CLUSTER-5,001,COMPUTER EQUIPMENT,02,1,E
,000000023803,00084796,R640 SERVERS,6/6/18,2018, DELL,210-AKWU,5Y0XQPZ,EV,1730300,Cyber Processing & Info Mgmt,8844,2020 Ridge,00172, STEVE KWAK,,12/13/18,PUR1298762,110 1730300        ,"17,204.00","2,007.11","8,888.71","8,315.29",0.00,,000220,5.0,COMPUTER SERVER-5,001,COMPUTER EQUIPMENT,01,1,E
,000000023804,00084795,R640 SERVERS,6/6/18,2018, DELL,210-AKWU,5Y0WQPZ,EV,1730300,Cyber Processing & Info Mgmt,8844,2020 Ridge,00172, STEVE KWAK,,12/13/18,PUR1298762,110 1730300        ,"17,204.00","2,007.11","8,888.71","8,315.29",0.00,,000220,5.0,COMPUTER SERVER-5,001,COMPUTER EQUIPMENT,01,1,E
,000000023706,00084668, 400A BREAKER,5/23/18,2018, EATON CORPORATION, , ,EV,1729400,"Rsrch Cmptng, Stor, Ntwk & Fac",8844,2020 Ridge,00184," SIMMS,THOMAS",,12/14/18,PUR1260643,812 1729400 80041167      ,"10,292.50",600.39,"2,658.89","7,633.61",0.00,,000301,10.0,"EQUIPMENT, MISC. SCIENTIFIC-10",002,SCIENTIFIC EQUIPMENT,01,1,E
,000000023707,00084669, 400A BREAKER,5/23/18,2018, EATON CORPORATION, , ,EV,1729400,"Rsrch Cmptng, Stor, Ntwk & Fac",8844,2020 Ridge,00184," SIMMS,THOMAS",,12/14/18,PUR1260643,812 1729400 80041167      ,"10,292.50",600.39,"2,658.89","7,633.61",0.00,,000301,10.0,"EQUIPMENT, MISC. SCIENTIFIC-10",002,SCIENTIFIC EQUIPMENT,01,1,E
,000000023708,00084670, 400A BREAKER,5/23/18,2018, EATON CORPORATION, , ,EV,1729400,"Rsrch Cmptng, Stor, Ntwk & Fac",8844,2020 Ridge,00184," SIMMS,THOMAS",,12/14/18,PUR1260643,812 1729400 80041167      ,"10,292.50",600.39,"2,658.89","7,633.61",0.00,,000301,10.0,"EQUIPMENT, MISC. SCIENTIFIC-10",002,SCIENTIFIC EQUIPMENT,01,1,E
