1  fin_ops_asset_tag | fin_ops_po |  fin_ops_serial   |                           dct_serial                           |   dct_make    |      dct_model      | dct_type |           dct_name            | location 

2 -------------------+------------+-------------------+----------------------------------------------------------------+---------------+---------------------+----------+-------------------------------+----------

3  00077227          | PUR0335217 | DPTBJQ1           | DPTBJQ1                                                        | DELL          | POWEREDGE R710      | SERVER   | CHCSPDPM01                    | CHDC

4  00077223          | PUR0335217 | DPV8JQ1           | DPV8JQ1                                                        | DELL          | POWEREDGE R710      | SERVER   | CHCSPDPM02                    | CHDC

5  00076669          | PUR0263482 | JHPYNN1           | JHPYNN1                                                        | DELL          | POWEREDGE R710      | SERVER   | CHCSPDPM04                    | CHDC

6  00084451          | PUR0596941 | 3YNWGX1           | 3YNWGX1                                                        | DELL          | POWEREDGE R720      | SERVER   | CHCSPMBX03                    | CHDC

7  00084450          | PUR0596941 | 3YPSGX1           | 3YPSGX1                                                        | DELL          | POWEREDGE R720      | SERVER   | CHCSPMBX04                    | CHDC

8                    |            |                   | 4CPMV12                                                        | DELL          | POWEREDGE R720      | SERVER   | CHCSPMBX05                    | CHDC

9                    |            |                   | 6FWC5X1                                                        | DELL          | POWEREDGE R720XD    | SERVER   | CHCSPSFAST1                   | CHDC

10  00078512          | PUR0537238 | 5FWC5X1           | 5FWC5X1                                                        | DELL          | POWEREDGE R720XD    | SERVER   | CHCSPSFAST2                   | CHDC

11  00078328          | PUR0412979 | F19GJS1           | F19GJS1                                                        | DELL          | POWEREDGE R710      | SERVER   | CHCSPSSQL1                    | CHDC

12  00078327          | PUR0412979 | F1CCJS1           | F1CCJS1                                                        | DELL          | POWEREDGE R710      | SERVER   | CHCSPSSQL2                    | CHDC

13  N0031654          | PUR0849358 | 7ZS6D42           | 7ZS6D42                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX20                       | CHDC

14  N0031653          | PUR0849358 | 7ZS3D42           | 7ZS3D42                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX21                       | CHDC

15  N0031656          | PUR0849358 | 7ZRCD42           | 7ZRCD42                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX22                       | CHDC

16                    |            |                   | 7ZS4D42                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX23                       | CHDC

17  00080241          | PUR0846848 | 7YZWC42           | 7YZWC42                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX24                       | CHDC

18  N0031652          | PUR0849358 | 8P99D42           | 8P99D42                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX25                       | CHDC

19  N0031700          | PUR0846848 | 9FWXC42           | 9FWXC42                                                        | DELL          | POWEREDGE R630      | SERVER   | CHESX26                       | CHDC

