device_name,model,device_type,service_tag,service_level_code,warranty_type,warranty_description,service_provider,shipped_date,start_date,end_date,days_remaining
EVESXC03N03-V34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,38W3H13,GD,INITIAL,PROSUPPORT MISSION CRITICAL,DELL,12/28/2019,12/28/2019,12/28/2024,1656
EVESXC03N03-V34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,38W3H13,S9,EXTENDED,4 HOUR 7X24 ONSITE SUPPORT,UNY,12/28/2019,12/29/2022,12/29/2024,1657
EVESXC03N03-V34-IDRAC.ITCS.PRIVATE,POWEREDGE R640,SERVER,38W3H13,S9,INITIAL,4 HOUR 7X24 ONSITE SUPPORT,UNY,12/28/2019,12/28/2019,12/28/2022,925
MOTIO-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,82N0CH2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,2/10/2017,2/10/2017,2/10/2021,239
MOTIO-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,82N0CH2,SV,INITIAL,SILVER SUPPORT OR PROSUPPORT,DELL,2/10/2017,2/10/2017,2/10/2021,239
RISAOPSTST-IDRAC.ITCS.PRIVATE,POWEREDGE R730XD,SERVER,G4S6HH2,ND,INITIAL,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,3/30/2017,3/30/2017,3/30/2022,652
NUBIEVAPP07-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,4TK3S52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/26/2015,6/28/2020,6/27/2021,376
NUBIEVAPP07-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,4TK3S52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/26/2015,6/27/2019,6/26/2020,10
NUBIEVAPP07-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,4TK3S52,SV,EXTENDED,SILVER SUPPORT OR PROSUPPORT,DELL,6/26/2015,6/28/2020,6/27/2021,376
NUBIEVAPP07-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,4TK3S52,SV,EXTENDED,SILVER SUPPORT OR PROSUPPORT,DELL,6/26/2015,6/27/2019,6/26/2020,10
EVRACT12-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,G42GGB2,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,4/29/2016,5/1/2020,4/29/2021,317
NUBIEVAPP08-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,4TK4S52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/26/2015,6/28/2020,6/27/2021,376
NUBIEVAPP08-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,4TK4S52,ND,EXTENDED,ONSITE SERVICE AFTER REMOTE DIAGNOSIS (CONSUMER CUSTOMER)/ NEXT BUSINESS DAY ONSITE AFTER REMOTE DIAGNOSIS (COMMERCIAL CUSTOMER),UNY,6/26/2015,6/27/2019,6/26/2020,10
NUBIEVAPP08-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,4TK4S52,SV,EXTENDED,SILVER SUPPORT OR PROSUPPORT,DELL,6/26/2015,6/28/2020,6/27/2021,376
NUBIEVAPP08-IDRAC.ITCS.PRIVATE,POWEREDGE R630,SERVER,4TK4S52,SV,EXTENDED,SILVER SUPPORT OR PROSUPPORT,DELL,6/26/2015,6/27/2019,6/26/2020,10
