
Device Name,Model,Device Type,Service Tag,Service Level Code,Warranty Type,Warranty Description,Service Provider,Shipped Date,Start Date,End Date,Days Remaining
evesxc03n03-v34-idrac.itcs.private,PowerEdge R640,Server,38W3H13,GD,INITIAL,ProSupport Mission Critical,DELL,12/28/2019,12/28/2019,12/28/2024,1656
evesxc03n03-v34-idrac.itcs.private,PowerEdge R640,Server,38W3H13,S9,EXTENDED,4 Hour 7x24 Onsite Support,UNY,12/28/2019,12/29/2022,12/29/2024,1657
evesxc03n03-v34-idrac.itcs.private,PowerEdge R640,Server,38W3H13,S9,INITIAL,4 Hour 7x24 Onsite Support,UNY,12/28/2019,12/28/2019,12/28/2022,925
motio-idrac.itcs.private,PowerEdge R630,Server,82N0CH2,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,2/10/2017,2/10/2017,2/10/2021,239
motio-idrac.itcs.private,PowerEdge R630,Server,82N0CH2,SV,INITIAL,Silver Support or ProSupport,DELL,2/10/2017,2/10/2017,2/10/2021,239
risaopstst-idrac.itcs.private,PowerEdge R730xd,Server,G4S6HH2,ND,INITIAL,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,3/30/2017,3/30/2017,3/30/2022,652
nubievapp07-idrac.itcs.private,PowerEdge R630,Server,4TK3S52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,6/26/2015,6/28/2020,6/27/2021,376
nubievapp07-idrac.itcs.private,PowerEdge R630,Server,4TK3S52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,6/26/2015,6/27/2019,6/26/2020,10
nubievapp07-idrac.itcs.private,PowerEdge R630,Server,4TK3S52,SV,EXTENDED,Silver Support or ProSupport,DELL,6/26/2015,6/28/2020,6/27/2021,376
nubievapp07-idrac.itcs.private,PowerEdge R630,Server,4TK3S52,SV,EXTENDED,Silver Support or ProSupport,DELL,6/26/2015,6/27/2019,6/26/2020,10
evract12-idrac.itcs.private,PowerEdge R630,Server,G42GGB2,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,4/29/2016,5/1/2020,4/29/2021,317
nubievapp08-idrac.itcs.private,PowerEdge R630,Server,4TK4S52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,6/26/2015,6/28/2020,6/27/2021,376
nubievapp08-idrac.itcs.private,PowerEdge R630,Server,4TK4S52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,6/26/2015,6/27/2019,6/26/2020,10
nubievapp08-idrac.itcs.private,PowerEdge R630,Server,4TK4S52,SV,EXTENDED,Silver Support or ProSupport,DELL,6/26/2015,6/28/2020,6/27/2021,376
nubievapp08-idrac.itcs.private,PowerEdge R630,Server,4TK4S52,SV,EXTENDED,Silver Support or ProSupport,DELL,6/26/2015,6/27/2019,6/26/2020,10
vmbkup02a-idrac.itcs.private,PowerEdge R630,Server,10TYT52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,8/7/2015,8/9/2020,8/7/2021,417
vmbkup02a-idrac.itcs.private,PowerEdge R630,Server,10TYT52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,8/7/2015,8/8/2019,8/7/2020,52
nubievapp09-idrac.itcs.private,PowerEdge R630,Server,4TK5S52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,6/26/2015,6/28/2020,6/27/2021,376
nubievapp09-idrac.itcs.private,PowerEdge R630,Server,4TK5S52,ND,EXTENDED,Onsite Service After Remote Diagnosis (Consumer Customer)/ Next Business Day Onsite After Remote Diagnosis (Commercial Customer),UNY,6/26/2015,6/27/2019,6/26/2020,10
nubievapp09-idrac.itcs.private,PowerEdge R630,Server,4TK5S52,SV,EXTENDED,Silver Support or ProSupport,DELL,6/26/2015,6/28/2020,6/27/2021,376
