TNS_DATA_ASSET_TYPES,,
MODEL,"TYPE (WHAT IS IT.. ROUTER, SWITCH, FIREWALL, ",PHYISICAL/VIRTUAL
3750-STACK,SWITCH,"NEITHER, DENOTES A SWITCH STACK (MORE THAN ONE SWITCH IN A STACK)"
 3850-STACK,SWITCH,"NEITHER, DENOTES A SWITCH STACK (MORE THAN ONE SWITCH IN A STACK)"
 CISCO2911,ROUTER,PHYSICAL
 CISCO2921,ROUTER,PHYSICAL
 CISCO3845,ROUTER,PHYSICAL
 CISCO4431,ROUTER,PHYSICAL
 CISCOASR1001X,ROUTER,PHYSICAL
 CISCOCATALYST2912LRE,SWITCH,PHYSICAL
 CISCOCATALYST3560CX8PCS,SWITCH,PHYSICAL
 CISCOIE20004TSGB,SWITCH,PHYSICAL
 CISCOME3600X,ROUTER,PHYSICAL
 N7K-C7009,ROUTER,PHYSICAL
 N7K-C7010,ROUTER,PHYSICAL
 N7K-C7018,ROUTER,PHYSICAL
 N7K-F248XP-25E,ROUTER MODULE,PHYSICAL
 N7K-M108X2-12L,ROUTER MODULE,PHYSICAL
 N7K-M148GS-11L,ROUTER MODULE,PHYSICAL
 N7K-M202CF-22L,ROUTER MODULE,PHYSICAL
 N7K-M224XP-23L,ROUTER MODULE,PHYSICAL
 N7K-SUP2E,ROUTER MODULE,PHYSICAL
 VS-SUP2T-10G,ROUTER MODULE,PHYSICAL
 WS-C3750-48P,SWITCH,PHYSICAL
 WS-C3750-48TS,SWITCH,PHYSICAL
 WS-C3750G-24TS-1U,SWITCH,PHYSICAL
 WS-C3750V2-48PS,SWITCH,PHYSICAL
 WS-C3750X-12S,SWITCH,PHYSICAL
 WS-C3750X-24P,SWITCH,PHYSICAL
 WS-C3750X-48P,SWITCH,PHYSICAL
 WS-C3850-12S-S,SWITCH,PHYSICAL
 WS-C3850-12X48U-L,SWITCH,PHYSICAL
 WS-C3850-24P-L,SWITCH,PHYSICAL
 WS-C3850-24XS-S,SWITCH,PHYSICAL
 WS-C3850-24XU-L,SWITCH,PHYSICAL
 WS-C3850-48P - PROVISIONED,SWITCH,PHYSICAL
 WS-C3850-48P-E,SWITCH,PHYSICAL
 WS-C3850-48P-L,SWITCH,PHYSICAL
 WS-C6509-E,ROUTER,PHYSICAL
 WS-X6704-10GE,ROUTER MODULE,PHYSICAL
 WS-X6724-SFP,ROUTER MODULE,PHYSICAL

%S/.*/\U&/G
