1                name               |           model            |  asset_type  | serial_number 

2 ----------------------------------+----------------------------+--------------+---------------

3  2020RDG-RTR-4                    | N7K-C7009                  | ROUTER       | JAF1620ABSP

4  2020RDG-RTR-5-CROWN              | N7K-C7010                  | ROUTER       | TBM16275366

5  44MONTGMRY-18-RTR-1              | CISCO4431                  | ROUTER       | FJC2022D1EF

6  633STCLR-RTR-1                   | CISCOME3600X               | ROUTER       | FOC1644X1NK

7  ABBT-RTR-1                       | N7K-C7010                  | ROUTER       | JAF1626BPPE

8  ABBT-RTR-2                       | N7K-C7009                  | ROUTER       | JAF1620ACAL

9  ABBT-RTR-4                       | N7K-C7010                  | ROUTER       | JAF1637AESA

10  ABBT-VPN-RTR-3                   | CISCOASR1001X              | ROUTER       | FXS2018Q37D

11  CHDC-RTR-1                       | N7K-C7018                  | ROUTER       | TBM17020790

12  CHDC-RTR-2                       | N7K-C7018                  | ROUTER       | TBM17020721

13  EVDC-RTR-1                       | N7K-C7018                  | ROUTER       | TBM17020830

14  EVDC-RTR-2                       | N7K-C7018                  | ROUTER       | TBM17020798

15  KRESGEUG-RTR-2                   | N7K-C7009                  | ROUTER       | JAF1549DBPQ

16  KRESGEUG-RTR-3                   | N7K-C7009                  | ROUTER       | JAF1549DBLP

17  LEV-RTR-1                        | N7K-C7010                  | ROUTER       | JAF1624BBCC

18  LEV-RTR-10-CROWN                 | N7K-C7010                  | ROUTER       | TBM16265753

19  LEV-RTR-2                        | N7K-C7010                  | ROUTER       | JAF1624BCAR

20  LEV-RTR-4                        | WS-C6509-E                 | ROUTER       | SMG1119N2BM

21  LEV-RTR-5                        | N7K-C7009                  | ROUTER       | JAF1620ABQN

22  LEV-RTR-7                        | N7K-C7010                  | ROUTER       | TBM16265755

23  LEV-RTR-8                        | N7K-C7010                  | ROUTER       | TBM16265762

24  LEV-RTR-RR                       | CISCO3845                  | ROUTER       | FTX1028A0R9

25  LEV-VPN-RTR-3                    | CISCOASR1001X              | ROUTER       | FXS2013Q0JL

26  LURIE-RTR-1                      | WS-C6509-E                 | ROUTER       | SMG1003N11R

27  LURIE-RTR-3                      | N7K-C7010                  | ROUTER       | JAF1624BBNB

28  LURIE-RTR-4                      | N7K-C7010                  | ROUTER       | JAF1624BBRJ

29  LURIE-RTR-5                      | N7K-C7009                  | ROUTER       | JAF1620ACDL

30  NYCDEVEL-IDF-RTR-1A              | CISCO2921                  | ROUTER       | FTX1504AL5D

31  TECH-RTR-3                       | N7K-C7010                  | ROUTER       | TBM16256428

32  TECH-RTR-4                       | N7K-C7010                  | ROUTER       | JAF1616BKHP

33  TECH-RTR-5                       | N7K-C7010                  | ROUTER       | JAF1621BJQA

