name,model,serial,ip,software,module_ip,module_num,firmware,hw,last_seen
WILLARD-B042-00A-ESW-1,WS-C3850-48P-L,FOC2142X1DS,10.100.10.103,DENALI 16.3.8,0.0.0.0,3,,V07,4/27/20 1:00
WILLARD-B042-00A-ESW-1,WS-C3850-48P-L,FCW2143C0QZ,10.100.10.103,DENALI 16.3.8,0.0.0.0,2,,V07,4/27/20 1:00
750NLSD-12-190-ESW-1,3850-STACK,FCW2022C1JZ,10.100.22.33,DENALI 16.3.9,0.0.0.0,0,,,4/27/20 1:00
750NLSD-12-190-ESW-1,WS-C3850-48P-L,FOC1903X06N,10.100.22.33,DENALI 16.3.9,0.0.0.0,1,,V05,4/27/20 1:00
750NLSD-12-190-ESW-1,WS-C3850-48P-L,FCW2022C1JZ,10.100.22.33,DENALI 16.3.9,0.0.0.0,2,,V06,4/27/20 1:00
750NLSD-12-190-ESW-1,WS-C3850-48P-L,FOC1903U0MD,10.100.22.33,DENALI 16.3.9,0.0.0.0,3,,V05,4/27/20 1:00
WILLARD-B042-00A-ESW-1,WS-C3850-48P-L,FOC2120U0QT,10.100.10.103,DENALI 16.3.8,0.0.0.0,1,,V07,4/27/20 1:00
WILLARD-B042-00A-ESW-1,3850-STACK,FOC2120U0QT,10.100.10.103,DENALI 16.3.8,0.0.0.0,0,,,4/27/20 1:00
700UNIV-1-ESW-1,WS-C3850-48P-L,FOC2120L0L1,10.100.10.101,DENALI 16.3.9,0.0.0.0,0,,V07,4/27/20 1:00
TECH-RTR-6,N7K-M108X2-12L,JAF1626BHKR,199.249.169.169,6.2(20A),0.0.0.0,2,6.2(20A),V04,4/27/20 1:00
345SUP-15-ESW-1,3850-STACK,FCW1818C0J0,10.100.24.43,DENALI 16.3.9,0.0.0.0,0,,,4/27/20 1:00
HEALTH-B-ESW-1,3850-STACK,FOC2035X0J1,10.100.10.95,DENALI 16.3.9,0.0.0.0,0,,,4/27/20 1:00
HEALTH-B-ESW-1,WS-C3850-48P-L,FCW2035D0EY,10.100.10.95,DENALI 16.3.9,0.0.0.0,6,,V07,4/27/20 1:00
HEALTH-B-ESW-1,WS-C3850-48P-L,FOC2035X0J7,10.100.10.95,DENALI 16.3.9,0.0.0.0,5,,V07,4/27/20 1:00
HEALTH-B-ESW-1,WS-C3850-48P-L,FOC2035X0J1,10.100.10.95,DENALI 16.3.9,0.0.0.0,4,,V07,4/27/20 1:00
