               name               |           model            |  asset_type  | serial_number 
----------------------------------+----------------------------+--------------+---------------
 2020RDG-RTR-4                    | N7K-C7009                  | ROUTER       | JAF1620ABSP
 2020RDG-RTR-5-CROWN              | N7K-C7010                  | ROUTER       | TBM16275366
 44MONTGMRY-18-RTR-1              | CISCO4431                  | ROUTER       | FJC2022D1EF
 633STCLR-RTR-1                   | CISCOME3600X               | ROUTER       | FOC1644X1NK
 ABBT-RTR-1                       | N7K-C7010                  | ROUTER       | JAF1626BPPE
 ABBT-RTR-2                       | N7K-C7009                  | ROUTER       | JAF1620ACAL
 ABBT-RTR-4                       | N7K-C7010                  | ROUTER       | JAF1637AESA
 ABBT-VPN-RTR-3                   | CISCOASR1001X              | ROUTER       | FXS2018Q37D
 CHDC-RTR-1                       | N7K-C7018                  | ROUTER       | TBM17020790
 CHDC-RTR-2                       | N7K-C7018                  | ROUTER       | TBM17020721
 EVDC-RTR-1                       | N7K-C7018                  | ROUTER       | TBM17020830
 EVDC-RTR-2                       | N7K-C7018                  | ROUTER       | TBM17020798
 KRESGEUG-RTR-2                   | N7K-C7009                  | ROUTER       | JAF1549DBPQ
 KRESGEUG-RTR-3                   | N7K-C7009                  | ROUTER       | JAF1549DBLP
 LEV-RTR-1                        | N7K-C7010                  | ROUTER       | JAF1624BBCC
 LEV-RTR-10-CROWN                 | N7K-C7010                  | ROUTER       | TBM16265753
 LEV-RTR-2                        | N7K-C7010                  | ROUTER       | JAF1624BCAR
 LEV-RTR-4                        | WS-C6509-E                 | ROUTER       | SMG1119N2BM
 LEV-RTR-5                        | N7K-C7009                  | ROUTER       | JAF1620ABQN
 LEV-RTR-7                        | N7K-C7010                  | ROUTER       | TBM16265755
 LEV-RTR-8                        | N7K-C7010                  | ROUTER       | TBM16265762
 LEV-RTR-RR                       | CISCO3845                  | ROUTER       | FTX1028A0R9
 LEV-VPN-RTR-3                    | CISCOASR1001X              | ROUTER       | FXS2013Q0JL
 LURIE-RTR-1                      | WS-C6509-E                 | ROUTER       | SMG1003N11R
 LURIE-RTR-3                      | N7K-C7010                  | ROUTER       | JAF1624BBNB
 LURIE-RTR-4                      | N7K-C7010                  | ROUTER       | JAF1624BBRJ
 LURIE-RTR-5                      | N7K-C7009                  | ROUTER       | JAF1620ACDL
 NYCDEVEL-IDF-RTR-1A              | CISCO2921                  | ROUTER       | FTX1504AL5D
 TECH-RTR-3                       | N7K-C7010                  | ROUTER       | TBM16256428
 TECH-RTR-4                       | N7K-C7010                  | ROUTER       | JAF1616BKHP
 TECH-RTR-5                       | N7K-C7010                  | ROUTER       | JAF1621BJQA
 TECH-RTR-6                       | N7K-C7010                  | ROUTER       | JAF1549DBFF
 2020RDG-RTR-4                    | N7K-M224XP-23L             | ROUTERMODULE | JAF1721APHQ
 2020RDG-RTR-4                    | N7K-M202CF-22L             | ROUTERMODULE | JAE202200TP
 2020RDG-RTR-4                    | N7K-SUP2E                  | ROUTERMODULE | JAF1719ANHH
 2020RDG-RTR-4                    | N7K-M148GS-11L             | ROUTERMODULE | JAF1623AELF
 2020RDG-RTR-4                    | N7K-SUP2E                  | ROUTERMODULE | JAF1720ACFR
 2020RDG-RTR-4                    | N7K-M224XP-23L             | ROUTERMODULE | JAF1719ADFJ
 2020RDG-RTR-5-CROWN              | N7K-M108X2-12L             | ROUTERMODULE | JAF1626BHQN
 2020RDG-RTR-5-CROWN              | N7K-SUP2E                  | ROUTERMODULE | JAE19140039
 2020RDG-RTR-5-CROWN              | N7K-M108X2-12L             | ROUTERMODULE | JAF1627ADDR
 2020RDG-RTR-5-CROWN              | N7K-M148GS-11L             | ROUTERMODULE | JAF1623AEGR
 2020RDG-RTR-5-CROWN              | N7K-M148GS-11L             | ROUTERMODULE | JAF1625AGKP
