               hostname               |   ip_address    |       model       |       sw        |  serial_number   |      last_seen      
--------------------------------------+-----------------+-------------------+-----------------+------------------+---------------------
 EVDC-VSRX-FW-1146-1-NUL              | 165.124.26.45   | FIREFLY-PERIMETER | 12.1X47-D20.7   | 77521A1A96F2     | 2020-05-26 01:34:23
 CHDC-232-021540-FW-1-CI-NODE0        | 10.100.0.102    | SRX1500           | 15.1X49-D40.6   | DB3616AK3399     | 2020-05-26 01:35:30
 2211CAMPUS-L416-FW-1-KGSM-RETH0      | 129.105.223.140 | SRX1500           | 15.1X49-D50.3   | DB2216AK1599     | 2020-05-26 01:35:31
 EVDC-O39-FW-1-CI-NODE0               | 10.100.20.137   | SRX1500           | 15.1X49-D40.6   | DB3616AK3383     | 2020-05-26 01:35:31
 2211CAMPUS-L416-FW-1-KGSM-NODE1      | 10.100.14.64    | SRX1500           | 15.1X49-D50.3   | DB2216AK1599     | 2020-05-26 01:35:30
 EVDC-O39-FW-1-CI-NODE1               | 10.100.20.138   | SRX1500           | 15.1X49-D40.6   | NOSUCHOBJECT     | 2020-05-26 01:35:31
 CHDC-232-021540-FW-1-CI-NODE1        | 10.100.0.103    | SRX1500           | 15.1X49-D40.6   | NOSUCHOBJECT     | 2020-05-26 01:35:30
 2211CAMPUS-L416-FW-1-KGSM-NODE0      | 10.100.14.63    | SRX1500           | 15.1X49-D50.3   | NOSUCHOBJECT     | 2020-05-26 01:35:30
 2020RDG-IDF-V48-FW-1-FM              | 129.105.164.196 | SRX210B           | 11.4R10.3       | AC2709AA0131     | 2020-05-26 01:34:25
 750NLSD-12-190-FW-1-OOTPAGC-NODE1    | 165.124.129.165 | SRX210H           | 12.1X46-D65.4   | NOSUCHOBJECT     | 2020-05-26 01:35:33
 TECH-LG83-FW-1-ADMIN                 | 129.105.1.246   | SRX210HE2         | 12.3X48-D10.3   | CD3813AK0735     | 2020-05-26 01:34:23
 555CLRK-1-FW-1-FINANCE               | 129.105.230.131 | SRX210HE2         | 12.1X44-D30.4   | CD4313AK0496     | 2020-05-26 01:34:26
 1201DAVIS-B-FW-2-POLICE              | 129.105.47.4    | SRX210HE2         | 12.1X44-D35.5   | CD4013AK0168     | 2020-05-26 01:35:07
 LEV-G158-0G0E12-FW-1-SA              | 129.105.162.53  | SRX210HE2         | 12.3X48-D10.3   | CD1515AK0300     | 2020-05-26 01:34:25
 CORALGABLES-SC-FW-1-NODE1            | 165.124.26.156  | SRX210HE2         | 12.1X46-D35.1   | NOSUCHOBJECT     | 2020-05-26 01:35:30
 619CLRK-B1-FW-2-FINANCE              | 129.105.147.6   | SRX210HE2         | 12.1X44-D35.5   | CD4613AK0736     | 2020-05-26 01:34:25
 SEARLE-B-FW-1-HEALTH-NODE1           | 129.105.155.254 | SRX210HE2         | 12.1X46-D25.7   | CD3813AK0801     | 2020-05-26 01:34:25
 CROWN-IDF-FW-1-REGISTRAR             | 129.105.23.4    | SRX210HE2         | 12.1X46-D40.2   | CD4613AK0745     | 2020-05-26 01:34:26
 TARRY-13-FW-1-NEUROLOGY              | 165.124.73.132  | SRX210HE2         | 12.1X44-D30.4   | CD4513AK0876     | 2020-05-26 01:34:23
 2020RDG-G-FW-1-FINANCE               | 129.105.46.132  | SRX210HE2         | 12.1X44-D35.5   | CD4513AK0592     | 2020-05-26 01:35:06
 750NLSD-12-190-FW-1-OOTPAGC-NODE0    | 165.124.129.164 | SRX210HE2         | 12.1X46-D65.4   | CD0715AK0377     | 2020-05-26 01:35:32
 LEV-G158-0G0E12-FW-4-POLICE          | 165.124.82.164  | SRX210HE2         | 12.1X46-D40.2   | CD4613AK0653     | 2020-05-26 01:33:42
 2255CAMPUS-4285-FW-1-ATHLETICS-NODE1 | 10.100.9.3      | SRX210HE2         | 12.1X46-D65.4   | NOSUCHOBJECT     | 2020-05-26 01:35:33
 2255CAMPUS-4285-FW-1-ATHLETICS-NODE0 | 10.100.9.2      | SRX210HE2         | 12.1X46-D65.4   | CD4613AK0733     | 2020-05-26 01:35:33
 2020RDG-4-FW-1-SVCOPS-NODE0          | 129.105.143.228 | SRX210HE2         | 12.1X46-D40.2   | NOSUCHOBJECT     | 2020-05-26 01:34:24
 ABBT-6-FW-1-FINAID                   | 165.124.13.228  | SRX210HE2         | 12.1X44-D35.5   | CD4313AK0730     | 2020-05-26 01:35:07
 LURIE-IDF-FW-1-JCIBAS                | 165.124.28.4    | SRX210HE2         | 12.1X46-D40.2   | CD3915AK0119     | 2020-05-26 01:35:32
 LURIE-IDF-FW-1-JCIBAS-NODE0          | 10.100.22.100   | SRX210HE2         | 12.1X46-D40.2   | NOSUCHOBJECT     | 2020-05-26 01:35:09
 RYAN-IDF-FW-2-ATHLETICS              | 129.105.182.37  | SRX210HE2         | 12.1X46-D77.1   | CD4613AK0313     | 2020-05-26 01:35:31
 2020RDG-IDF-P48-FW-1-IEMS            | 129.105.112.4   | SRX210HE2         | 12.3X48-D40.5   | CD4313AK0306     | 2020-05-26 01:34:24
 LURIE-IDF-FW-1-JCIBAS-NODE1          | 10.100.22.101   | SRX210HE2         | 12.1X46-D40.2   | CD3915AK0119     | 2020-05-26 01:35:32
 LEV-G158-0G0E12-FW-2-SA              | 129.105.162.54  | SRX210HE2         | 12.3X48-D10.3   | NOSUCHOBJECT     | 2020-05-26 01:34:25
 SILVERMAN-B506-FW-1-PCE              | 165.124.28.20   | SRX210HE2         | 12.1X46-D35.1   | CD4513AK0839     | 2020-05-26 01:35:08
 405CHCH-B-FW-1-SCS                   | 129.105.103.3   | SRX210HE2         | 12.1X46-D65.4   | CD4613AK0730     | 2020-05-26 01:34:23
 ABBT-B-FW-1-HEALTH                   | 165.124.14.4    | SRX210HE2         | 12.1X44-D20.3   | CD4313AK0422     | 2020-05-26 01:35:08
 SEARLE-B-FW-1-HEALTH-NODE0           | 129.105.155.253 | SRX210HE2         | 12.1X46-D25.7   | NOSUCHOBJECT     | 2020-05-26 01:34:25
 LEV-G158-0G0208-FW-1-ITTNS           | 129.105.26.37   | SRX210HE2         | 12.1X46-D40.2   | CD5113AK0765     | 2020-05-26 01:35:06
 LURIE-IDF-FW-1-POLICE                | 165.124.24.76   | SRX210HE2         | 12.1X46-D40.2   | CD0614AK0610     | 2020-05-26 01:35:31
 2020RDG-4-FW-1-SVCOPS-NODE1          | 129.105.143.229 | SRX210HE2         | 12.1X46-D40.2   | CD4513AK0583     | 2020-05-26 01:34:24
 CORALGABLES-SC-FW-1-NODE0            | 165.124.26.157  | SRX210HE2         | 12.1X46-D35.1   | CD3315AK1730     | 2020-05-26 01:35:29
 1201DAVIS-B-FW-1-POLICE              | 129.105.47.3    | SRX210HE2         | 12.1X46-D40.2   | CD4613AK0666     | 2020-05-26 01:35:07
 619CLRK-B1-FW-1-FINANCE              | 129.105.147.5   | SRX210HE2         | 12.1X44-D30.4   | CD4613AK0756     | 2020-05-26 01:34:24
 CROWN-G228-FW-1-OOTPAGC-NODE0        | 129.105.135.5   | SRX220H2          | 12.1X44-D30.4   | NOSUCHOBJECT     | 2020-05-26 01:35:30
 WIEB-723-FW-2-SCS                    | 165.124.226.4   | SRX220H2          | 12.1X46-D65.4   | CF3813AK0595     | 2020-05-26 01:35:08
 ABBT-3-FW-1-SCS                      | 165.124.32.4    | SRX220H2          | 12.1X46-D65.4   | CF0214AK1181     | 2020-05-26 01:35:09
 CHDC-232-021536-FW-1-LAW             | 165.124.26.5    | SRX220H2          | 12.3X48-D85.1   | CF3214AK0157     | 2020-05-26 01:34:23
 CROWN-G228-FW-1-OOTPAGC-NODE1        | 129.105.135.6   | SRX220H2          | 12.1X44-D30.4   | CF3214AK0175     | 2020-05-26 01:35:30
 MAINLIB-IDF-FW-1-ITAT                | 129.105.110.5   | SRX220H2          | 12.1X44-D30.4   | CF0214AK0574     | 2020-05-26 01:34:23
 1801HNMN-134-FW-1-ADMSN              | 129.105.76.4    | SRX240H           | 12.1X44-D45.2   | AG3212AA0032     | 2020-05-26 01:35:07
 EVDC-R48-FW-1-LAW-NODE0              | 165.124.73.2    | SRX240H2          | 12.1X44-D35.5   | NOSUCHOBJECT     | 2020-05-26 01:35:09
 ABBT-234-021535-FW-1-SOC             | 165.124.19.196  | SRX240H2          | 11.4R9.4        | BU3713AK0780     | 2020-05-26 01:35:08
 2020RDG-IDF-U48-FW-1-SCS-NODE1       | 165.124.227.7   | SRX240H2          | 12.1X46-D65.4   | BU3713AK0675     | 2020-05-26 01:35:08
 EVDC-R48-FW-1-LAW-NODE1              | 165.124.73.3    | SRX240H2          | 12.1X44-D35.5   | BU0214AK0702     | 2020-05-26 01:35:31
 BIRL-1-FW-1-CPS                      | 129.105.123.149 | SRX300            | 18.2R3.4        | CV1919AN1204     | 2020-05-26 01:34:24
 BIRL-1-FW-1-QATAR                    | 129.105.73.38   | SRX300            | 18.2R3-S1.7     | CV1919AN0275     | 2020-05-26 01:35:07
 TECH-LG83-FW-2-ADMIN-NODE0           | 10.100.6.128    | SRX340            | 15.1X49-D190.2  | CY4818AF0210     | 2020-05-26 01:35:33
 TECH-LG83-FW-2-ADMIN-NODE1           | 10.100.6.129    | SRX340            | 15.1X49-D190.2  | NOSUCHOBJECT     | 2020-05-26 01:35:33
 2020RDG-IDF-FW-1-CI                  | 129.105.46.204  | SRX3600           | 12.3X48-D30.7   | AB2109AA0025     | 2020-05-26 01:35:06
 JACOBS-G183-FW-7-KGSM-NODE0          | 129.105.97.82   | SRX550            | 12.3X48-D35.7   | NOSUCHOBJECT     | 2020-05-26 01:35:30
 1800SHERMAN-4-FW-1-INVESTMENT        | 129.105.242.3   | SRX550            | 12.1X44-D35.5   | AL0914AK0080     | 2020-05-26 01:34:26
 JACOBS-G183-FW-7-KGSM-NODE1          | 129.105.97.83   | SRX550            | 12.3X48-D35.7   | NOSUCHOBJECT     | 2020-05-26 01:35:07
 ABBT-232-021639-FW-1-CI              | 129.105.46.212  | SRX5600           | 12.3X48-D30.7   | JN110BA98AGB     | 2020-05-26 01:35:30
 GARRETT-B-FW-1-GETS                  | 129.105.243.5   | SSG-140           | 6.3.0R11.0      | 0185122007001678 | 2020-05-26 01:34:26
 MCTRIB-2-FW-1-MEDILL                 | 129.105.51.2    | SSG-140           | 6.3.0R22.0      | 0185122009001403 | 2020-05-26 01:35:07
 750NLSD-4WEST-FW-2-ABF               | 192.26.86.114   | SSG-350M          | 6.3.0R21.0      | JN10ED1CBADE     | 2020-05-26 01:35:09
 750NLSD-4WEST-FW-1-ABF               | 192.26.86.113   | SSG-350M          | 6.3.0R21.0      | JN10EE515ADE     | 2020-05-26 01:35:09
 ABBT-242-020916-FW-1-ITTNS           | 165.124.49.137  | SSG-550           | 6.2.0R5.0       | JN11B2B7AADB     | 2020-05-26 01:35:09
 ABBT-242-020816-FW-3-ITTNS           | 165.124.49.136  | SSG-550           | 6.2.0R5.0       | JN11190AFADB     | 2020-05-26 01:35:09
 LEV-G158-0G0103-FW-1-ITTNS           | 129.105.49.137  | SSG-550           | 6.2.0R5.0       | JN11B2D25ADB     | 2020-05-26 01:35:07
 LEV-G158-0G0102-FW-1-ITTNS           | 129.105.49.136  | SSG-550           | 6.2.0R5.0       | JN10AB4D7ADB     | 2020-05-26 01:35:07
 LURIE-9-FW-1-INFECD                  | 165.124.206.5   | SSG-550           | 6.3.0R5.0       | JN11BF8B2ADB     | 2020-05-26 01:35:08
 GARRETT-B-FW-2-GETS                  | 129.105.186.5   | SSG5-SERIAL       | 6.3.0R5.0       | 0162102010000101 | 2020-05-26 01:34:26
 2020RDG-TAPEROOM-FW-1-FM             | 165.124.51.28   | SSG5-SERIAL       | 6.3.0R1.0       | 0162092010009249 | 2020-05-26 01:35:09
 ABBT-242-020815-FW-1-ITTNS           | 165.124.131.70  | SSG5-SERIAL       | 5.4.0R9.0       | 0162042007002916 | 2020-05-26 01:35:31
 LEV-G158-0G0208-FW-3-ITTNS           | 165.124.131.4   | SSG5-SERIAL       | 5.4.0R9.0       | 0162032007003923 | 2020-05-26 01:35:07
 COOK-4000A-FW-1-CQD                  | 165.124.82.180  | SSG5-SERIAL       | 6.3.0R19B.0     | 0162012012002932 | 2020-05-26 01:33:42
 CHDC-232-021536-FW-1-FM              | 165.124.51.22   | SSG5-SERIAL       | 6.3.0R1.0       | 0162012010001599 | 2020-05-26 01:35:09
 SCOTT-IDF-FW-2-SA-REG                | 129.105.253.222 | SSG5-SERIAL       | 6.3.0R1.0       | 0162022008002679 | 2020-05-26 01:34:26
 ABBT-242-021016-FW-1-FINANCE         | 165.124.1.68    | SSG5-SERIAL       | 6.3.0R9.0       | 0162032007001057 | 2020-05-26 01:35:07
 ALLEN-138-FW-2-ADMIN                 | 129.105.144.8   | SSG5-SERIAL       | 6.3.0R5.0       | 0162102010000362 | 2020-05-26 01:34:24
 SCOTT-IDF-FW-1-SA-WILDCARD           | 129.105.223.205 | SSG5-SERIAL       | 6.3.0R5.0       | 0162082009014004 | 2020-05-26 01:35:31
 SCOTT-IDF-FW-2-SA-WILDCARD           | 129.105.223.206 | SSG5-SERIAL       | 6.3.0R5.0       | 0162082009013999 | 2020-05-26 01:35:30
 SCOTT-IDF-FW-1-SA-REG                | 129.105.253.221 | SSG5-SERIAL       | 6.3.0R1.0       | 0162022008006657 | 2020-05-26 01:34:26
 ALLEN-138-FW-1-ADMIN                 | 129.105.144.7   | SSG5-SERIAL       | 6.3.0R5.0       | 0162082010001168 | 2020-05-26 01:34:24
 ABBT-242-020815-FW-2-ITTNS           | 165.124.131.72  | SSG5-SERIAL       | 5.4.0R9.0       | 0162052007004830 | 2020-05-26 01:35:31
 555CLRK-1-FW-1-ENROLLMENT            | 129.105.209.69  | SSG5-SERIAL       | 6.3.0R9.0       | 0162112007003531 | 2020-05-26 01:34:26
 LEV-G158-0G0208-FW-2-ITTNS           | 165.124.131.7   | SSG5-SERIAL       | 5.4.0R9.0       | 0162042007000912 | 2020-05-26 01:35:31
 MCGAW-0529-FW-1-JCIBAS               | 10.12.33.10     | SSG5-SERIAL       | 6.3.0R1.0       | 0162122009001806 | 2020-05-26 01:35:09
 EVDC-R48-FW-2-LAW                    | 165.124.73.4    | SSG5-SERIAL       | 5.4.0R3A.0      | 0162052007006103 | 2020-05-26 01:35:09
